account_id,customer_id,branch_id,product_id,account_open_date,account_status,current_balance_usd
ACCT-000001,CUST-000001,BR-004,PRD-006,2025-10-24,Delinquent,8607.34
ACCT-000002,CUST-000002,BR-006,PRD-002,2025-05-31,Active,51948.82
ACCT-000003,CUST-000003,BR-002,PRD-001,2024-05-10,Active,5269.58
ACCT-000004,CUST-000004,BR-002,PRD-002,2024-11-07,Active,41623.83
ACCT-000005,CUST-000005,BR-005,PRD-002,2025-10-12,Dormant,24771.09
ACCT-000006,CUST-000006,BR-011,PRD-003,2024-08-14,Active,77752.89
ACCT-000007,CUST-000007,BR-008,PRD-001,2024-11-19,Active,10772.51
ACCT-000008,CUST-000008,BR-006,PRD-001,2025-04-28,Active,3399.26
ACCT-000009,CUST-000009,BR-005,PRD-004,2025-07-30,Restricted,1332.03
ACCT-000010,CUST-000010,BR-008,PRD-002,2025-10-22,Active,39102.2
ACCT-000011,CUST-000011,BR-005,PRD-002,2025-07-06,Active,54102.52
ACCT-000012,CUST-000012,BR-007,PRD-003,2025-01-07,Active,13364.49
ACCT-000013,CUST-000013,BR-010,PRD-006,2026-01-10,Closed,3871.52
ACCT-000014,CUST-000014,BR-011,PRD-003,2025-05-24,Active,29944.04
ACCT-000015,CUST-000015,BR-004,PRD-002,2026-03-18,Active,53438.23
ACCT-000016,CUST-000016,BR-005,PRD-001,2025-05-21,Active,10370.43
ACCT-000017,CUST-000017,BR-011,PRD-001,2026-05-07,Active,5411.21
ACCT-000018,CUST-000018,BR-007,PRD-001,2024-12-12,Active,2436.08
ACCT-000019,CUST-000019,BR-001,PRD-001,2026-01-20,Active,4712.91
ACCT-000020,CUST-000020,BR-009,PRD-002,2026-05-14,Active,34813.42
ACCT-000021,CUST-000021,BR-003,PRD-001,2025-09-07,Active,1339.53
ACCT-000022,CUST-000022,BR-007,PRD-006,2026-08-26,Active,14732.25
ACCT-000023,CUST-000023,BR-006,PRD-004,2024-11-16,Restricted,6974.35
ACCT-000024,CUST-000024,BR-010,PRD-004,2025-01-27,Active,7019.6
