canonical_name,local_name,row_count,csv_path
main.certified.calendar_periods,certified.calendar_periods,32,certified/calendar_periods.csv
main.certified.branches,certified.branches,12,certified/branches.csv
main.certified.products,certified.products,6,certified/products.csv
main.certified.channels,certified.channels,8,certified/channels.csv
main.certified.employees,certified.employees,72,certified/employees.csv
main.certified.customers,certified.customers,360,certified/customers.csv
main.certified.accounts,certified.accounts,360,certified/accounts.csv
main.finance_core.fee_revenue,finance_core.fee_revenue,1728,finance_core/fee_revenue.csv
main.hr_people.employee_directory,hr_people.employee_directory,72,hr_people/employee_directory.csv
main.marketing_campaigns.campaigns,marketing_campaigns.campaigns,12,marketing_campaigns/campaigns.csv
