id,customer_id,channel_id,channel_code,channel_name,enrolled_at,enrollment_method,enrolled_by,status,status_reason,status_updated_at,username,alias,two_factor_enabled,auth_method,last_login_at,failed_login_attempts,locked_until,daily_transaction_limit,per_transaction_limit,monthly_transaction_limit,cash_withdrawal_limit,transfer_limit,bill_payment_limit,max_transactions_per_day,ip_whitelist,geo_restriction_flag,ussd_pin_set,ussd_last_access,mobile_app_version,push_notifications_enabled,security_questions_set,password_last_changed,transaction_fee_profile_id,sms_alerts_enabled,email_alerts_enabled,suspicious_activity_flag,last_suspicious_activity_date,created_at,updated_at
CCE-000000001,CUST-000001,CH-001,CH-001,Branch Network,2025-11-05,self_service,EMP-000007,active,In good standing.,2026-05-01,user_cust-000001_ch-001,CUST-000001-CH-001,False,otp_email,2026-05-01,1,,4294.92,3711.96,44088.93,841.04,1604.24,3679.27,22,0.0.0.0/0,True,False,2025-11-15,n/a,False,True,2026-04-19,TFP-170,True,True,False,2026-05-01,2025-11-05,2026-05-01
CCE-000000002,CUST-000001,CH-002,CH-002,Online Banking,2025-11-06,call_center,system_seed,active,In good standing.,2026-01-10,user_cust-000001_ch-002,CUST-000001-CH-002,True,password,2025-11-24,2,,6817.25,3244.9,54793.76,671.34,7508.28,6606.61,15,0.0.0.0/0,False,False,2026-01-06,n/a,False,True,2026-04-04,TFP-783,True,False,False,2026-05-01,2025-11-06,2026-01-17
CCE-000000003,CUST-000001,CH-003,CH-003,Mobile App,2025-11-13,call_center,system_seed,active,In good standing.,2026-04-30,user_cust-000001_ch-003,CUST-000001-CH-003,True,password,2026-04-22,3,2026-05-02,2573.79,1478.02,89692.59,282.81,7551.72,10063.68,13,10.10.10.0/24,False,False,2025-11-22,3.9.2,True,True,2026-04-09,TFP-827,True,True,False,2026-02-20,2025-11-13,2026-05-01
CCE-000000004,CUST-000001,CH-004,CH-004,Email,2025-11-14,branch_assisted,EMP-000001,active,In good standing.,2026-05-01,user_cust-000001_ch-004,CUST-000001-CH-004,False,otp_email,2026-05-01,3,2026-05-02,7982.05,1596.51,97553.82,958.89,2952.16,2365.34,6,0.0.0.0/0,False,False,2026-02-08,n/a,False,True,2026-04-15,TFP-444,True,True,False,2026-02-17,2025-11-14,2026-05-01
CCE-000000005,CUST-000001,CH-005,CH-005,SMS,2025-11-14,self_service,EMP-000007,active,In good standing.,2026-02-26,user_cust-000001_ch-005,CUST-000001-CH-005,False,otp_sms,2026-02-26,0,,6520.44,1382.51,109217.8,761.84,6065.43,6994.26,12,0.0.0.0/0,False,True,2026-01-03,n/a,False,True,2026-05-01,TFP-177,False,True,False,2026-04-06,2025-11-14,2026-03-17
CCE-000000006,CUST-000001,CH-006,CH-006,Call Center,2025-10-21,self_service,system_seed,inactive,Customer request,2026-01-28,user_cust-000001_ch-006,CUST-000001-CH-006,False,password,2026-01-15,1,,1834.43,716.29,20553.61,593.44,2766.32,5129.94,23,10.10.10.0/24,True,False,2025-11-18,n/a,False,True,2025-11-27,TFP-384,True,True,False,2026-04-03,2025-10-21,2026-02-03
CCE-000000007,CUST-000001,CH-007,CH-007,Operations Bridge,2025-10-23,self_service,system_seed,active,In good standing.,2026-01-04,user_cust-000001_ch-007,CUST-000001-CH-007,False,otp_email,2025-12-19,1,,7222.74,4112.6,123213.73,863.46,5507.96,4917.92,22,0.0.0.0/0,False,False,2026-01-24,n/a,False,True,2025-12-27,TFP-390,True,True,False,2026-05-01,2025-10-23,2026-01-17
CCE-000000008,CUST-000002,CH-001,CH-001,Branch Network,2025-06-30,self_service,system_seed,active,In good standing.,2026-04-30,user_cust-000002_ch-001,CUST-000002-CH-001,False,biometric,2026-03-26,2,,4966.37,1210.83,40176.82,1095.36,2162.64,8290.81,4,10.10.10.0/24,False,False,2025-09-23,n/a,False,True,2025-11-04,TFP-815,False,True,False,2025-11-11,2025-06-30,2026-05-01
CCE-000000009,CUST-000002,CH-002,CH-002,Online Banking,2025-06-26,branch_assisted,EMP-000001,active,In good standing.,2025-07-29,user_cust-000002_ch-002,CUST-000002-CH-002,True,password,2025-06-18,1,,8645.99,896.87,40788.42,951.23,6212.99,9271.81,11,0.0.0.0/0,False,False,2025-09-06,n/a,False,True,2025-10-17,TFP-307,True,True,False,2025-08-14,2025-06-26,2025-08-15
CCE-000000010,CUST-000002,CH-003,CH-003,Mobile App,2025-05-29,self_service,system_seed,active,In good standing.,2025-06-28,user_cust-000002_ch-003,CUST-000002-CH-003,True,otp_sms,2025-05-20,3,2026-05-02,8464.0,2656.95,80640.13,1241.58,5354.0,3582.18,23,0.0.0.0/0,True,False,2025-08-14,3.9.2,True,True,2025-09-22,TFP-875,False,True,False,2025-12-30,2025-05-29,2025-06-30
