campaign_id,channel_id,period_id,announcement_ts,owner_employee_id,announcement_type
CMP-0001,CH-004,2026-M01,2026-01-04 09:00:00,EMP-000006,launch_brief
CMP-0001,CH-007,2026-M01,2026-01-09 09:00:00,EMP-000006,channel_enablement
CMP-0001,CH-004,2026-M01,2026-01-08 09:00:00,EMP-000006,performance_update
CMP-0002,CH-004,2026-M02,2026-02-06 09:00:00,EMP-000030,launch_brief
CMP-0002,CH-007,2026-M02,2026-02-09 09:00:00,EMP-000030,channel_enablement
CMP-0003,CH-004,2026-M03,2026-03-05 09:00:00,EMP-000054,launch_brief
CMP-0003,CH-007,2026-M03,2026-03-08 09:00:00,EMP-000054,channel_enablement
CMP-0003,CH-004,2026-M03,2026-03-13 09:00:00,EMP-000054,performance_update
CMP-0004,CH-004,2026-M04,2026-04-02 09:00:00,EMP-000006,launch_brief
CMP-0004,CH-007,2026-M04,2026-04-08 09:00:00,EMP-000006,channel_enablement
CMP-0004,CH-004,2026-M04,2026-04-06 09:00:00,EMP-000006,performance_update
CMP-0005,CH-004,2026-M05,2026-05-03 09:00:00,EMP-000030,launch_brief
CMP-0005,CH-007,2026-M05,2026-05-08 09:00:00,EMP-000030,channel_enablement
CMP-0005,CH-004,2026-M05,2026-05-07 09:00:00,EMP-000030,performance_update
CMP-0006,CH-004,2026-M06,2026-06-05 09:00:00,EMP-000054,launch_brief
CMP-0006,CH-007,2026-M06,2026-06-09 09:00:00,EMP-000054,channel_enablement
CMP-0006,CH-004,2026-M06,2026-06-17 09:00:00,EMP-000054,performance_update
CMP-0007,CH-004,2026-M07,2026-07-05 09:00:00,EMP-000006,launch_brief
CMP-0007,CH-007,2026-M07,2026-07-10 09:00:00,EMP-000006,channel_enablement
CMP-0007,CH-004,2026-M07,2026-07-17 09:00:00,EMP-000006,performance_update
CMP-0008,CH-004,2026-M08,2026-08-02 09:00:00,EMP-000030,launch_brief
CMP-0008,CH-007,2026-M08,2026-08-06 09:00:00,EMP-000030,channel_enablement
CMP-0008,CH-004,2026-M08,2026-08-14 09:00:00,EMP-000030,performance_update
CMP-0009,CH-004,2026-M09,2026-09-05 09:00:00,EMP-000054,launch_brief
CMP-0009,CH-007,2026-M09,2026-09-10 09:00:00,EMP-000054,channel_enablement
CMP-0010,CH-004,2026-M10,2026-10-04 09:00:00,EMP-000006,launch_brief
CMP-0010,CH-007,2026-M10,2026-10-08 09:00:00,EMP-000006,channel_enablement
CMP-0010,CH-004,2026-M10,2026-10-08 09:00:00,EMP-000006,performance_update
CMP-0011,CH-004,2026-M11,2026-11-04 09:00:00,EMP-000030,launch_brief
CMP-0011,CH-007,2026-M11,2026-11-06 09:00:00,EMP-000030,channel_enablement
CMP-0011,CH-004,2026-M11,2026-11-10 09:00:00,EMP-000030,performance_update
CMP-0012,CH-004,2026-M12,2026-12-04 09:00:00,EMP-000054,launch_brief
CMP-0012,CH-007,2026-M12,2026-12-06 09:00:00,EMP-000054,channel_enablement
CMP-0012,CH-004,2026-M12,2026-12-10 09:00:00,EMP-000054,performance_update
