channel_id,branch_id,period_id,incident_id,thread_ts,severity,message_count
CH-007,BR-001,2026-M03,INC-000001,2026-03-14 21:17:00,medium,23
CH-007,BR-001,2026-M05,INC-000002,2026-05-25 02:40:00,high,39
CH-008,BR-001,2026-M06,INC-000003,2026-06-13 18:14:00,medium,19
CH-008,BR-001,2026-M08,INC-000004,2026-08-18 18:58:00,medium,21
CH-007,BR-001,2026-M12,INC-000005,2026-12-09 02:31:00,medium,25
CH-007,BR-002,2026-M01,INC-000006,2026-01-10 20:32:00,low,17
CH-007,BR-002,2026-M01,INC-000007,2026-01-26 07:25:00,high,49
CH-008,BR-002,2026-M02,INC-000008,2026-02-23 20:44:00,low,9
CH-007,BR-002,2026-M05,INC-000009,2026-05-28 01:57:00,high,47
CH-008,BR-002,2026-M05,INC-000010,2026-05-05 08:29:00,high,52
CH-007,BR-002,2026-M07,INC-000011,2026-07-24 12:55:00,low,11
CH-008,BR-002,2026-M11,INC-000012,2026-11-10 00:14:00,low,17
CH-007,BR-003,2026-M06,INC-000013,2026-06-12 05:55:00,low,17
CH-007,BR-003,2026-M08,INC-000014,2026-08-14 13:59:00,medium,25
CH-007,BR-003,2026-M08,INC-000015,2026-08-02 02:37:00,high,49
CH-008,BR-003,2026-M10,INC-000016,2026-10-28 14:47:00,low,8
CH-008,BR-003,2026-M11,INC-000017,2026-11-25 06:38:00,low,9
CH-007,BR-003,2026-M12,INC-000018,2026-12-02 03:46:00,high,54
CH-007,BR-004,2026-M01,INC-000019,2026-01-04 13:50:00,medium,29
CH-007,BR-004,2026-M02,INC-000020,2026-02-21 21:24:00,low,16
CH-007,BR-004,2026-M03,INC-000021,2026-03-06 05:43:00,medium,19
CH-008,BR-004,2026-M04,INC-000022,2026-04-14 06:17:00,medium,22
CH-007,BR-004,2026-M05,INC-000023,2026-05-03 22:38:00,high,34
CH-008,BR-004,2026-M06,INC-000024,2026-06-16 00:50:00,medium,24
CH-008,BR-004,2026-M07,INC-000025,2026-07-28 08:31:00,critical,59
CH-008,BR-004,2026-M07,INC-000026,2026-07-14 08:17:00,low,10
CH-007,BR-005,2026-M01,INC-000027,2026-01-23 14:45:00,medium,22
CH-008,BR-005,2026-M01,INC-000028,2026-01-25 05:29:00,low,10
CH-008,BR-005,2026-M03,INC-000029,2026-03-24 05:07:00,medium,30
CH-007,BR-005,2026-M06,INC-000030,2026-06-22 00:21:00,medium,22
CH-008,BR-005,2026-M07,INC-000031,2026-07-29 11:13:00,low,10
CH-008,BR-005,2026-M08,INC-000032,2026-08-10 06:27:00,low,11
CH-007,BR-005,2026-M09,INC-000033,2026-09-10 12:59:00,low,8
CH-008,BR-005,2026-M10,INC-000034,2026-10-09 09:30:00,low,8
CH-008,BR-005,2026-M10,INC-000035,2026-10-30 11:48:00,low,11
CH-008,BR-006,2026-M01,INC-000036,2026-01-02 14:00:00,medium,24
CH-007,BR-006,2026-M05,INC-000037,2026-05-31 00:01:00,critical,68
CH-008,BR-006,2026-M07,INC-000038,2026-07-15 07:21:00,critical,61
CH-007,BR-006,2026-M10,INC-000039,2026-10-27 12:12:00,critical,45
CH-008,BR-006,2026-M11,INC-000040,2026-11-14 00:49:00,medium,25
CH-007,BR-007,2026-M02,INC-000041,2026-02-02 12:37:00,low,9
CH-007,BR-007,2026-M03,INC-000042,2026-03-27 06:56:00,medium,25
CH-008,BR-007,2026-M05,INC-000043,2026-05-21 00:03:00,medium,26
CH-007,BR-007,2026-M07,INC-000044,2026-07-16 12:16:00,medium,21
CH-008,BR-007,2026-M08,INC-000045,2026-08-13 23:44:00,medium,25
CH-007,BR-007,2026-M09,INC-000046,2026-09-01 23:40:00,critical,80
CH-007,BR-007,2026-M10,INC-000047,2026-10-22 18:56:00,high,38
CH-008,BR-007,2026-M11,INC-000048,2026-11-29 00:43:00,high,54
CH-008,BR-008,2026-M03,INC-000049,2026-03-18 23:27:00,high,36
CH-008,BR-008,2026-M04,INC-000050,2026-04-04 22:22:00,medium,20
CH-007,BR-008,2026-M05,INC-000051,2026-05-25 21:59:00,medium,28
CH-008,BR-008,2026-M08,INC-000052,2026-08-31 17:48:00,high,36
CH-007,BR-008,2026-M10,INC-000053,2026-10-30 01:08:00,medium,22
CH-007,BR-009,2026-M02,INC-000054,2026-02-13 06:55:00,medium,18
CH-008,BR-009,2026-M03,INC-000055,2026-03-19 02:55:00,medium,17
CH-007,BR-009,2026-M06,INC-000056,2026-06-23 16:52:00,high,39
CH-008,BR-009,2026-M06,INC-000057,2026-06-03 12:55:00,low,13
CH-008,BR-009,2026-M06,INC-000058,2026-06-12 22:58:00,high,43
CH-007,BR-010,2026-M03,INC-000059,2026-03-08 07:39:00,low,14
CH-007,BR-010,2026-M08,INC-000060,2026-08-22 20:03:00,high,51
CH-007,BR-010,2026-M08,INC-000061,2026-08-23 03:35:00,low,12
CH-008,BR-010,2026-M10,INC-000062,2026-10-07 03:23:00,high,31
CH-008,BR-010,2026-M11,INC-000063,2026-11-21 01:50:00,low,8
CH-008,BR-011,2026-M01,INC-000064,2026-01-07 16:20:00,high,45
CH-008,BR-011,2026-M03,INC-000065,2026-03-31 08:54:00,medium,16
CH-008,BR-011,2026-M03,INC-000066,2026-03-06 14:31:00,medium,26
CH-007,BR-011,2026-M07,INC-000067,2026-07-09 00:17:00,low,9
CH-007,BR-011,2026-M10,INC-000068,2026-10-26 11:37:00,medium,29
CH-008,BR-011,2026-M11,INC-000069,2026-11-10 11:34:00,low,9
