account_id,customer_id,branch_id,period_id,ending_balance_usd,average_balance_usd
ACCT-000002,CUST-000002,BR-006,2025-M05,49104.95,46579.26
ACCT-000002,CUST-000002,BR-006,2025-M06,49758.83,47640.6
ACCT-000002,CUST-000002,BR-006,2025-M07,48735.54,45907.73
ACCT-000002,CUST-000002,BR-006,2025-M08,46344.97,42338.84
ACCT-000002,CUST-000002,BR-006,2025-M09,49939.81,47350.1
ACCT-000002,CUST-000002,BR-006,2025-M10,49238.17,46967.59
ACCT-000002,CUST-000002,BR-006,2025-M11,53726.06,51251.49
ACCT-000002,CUST-000002,BR-006,2025-M12,52393.22,49781.01
ACCT-000002,CUST-000002,BR-006,2026-M01,52792.85,50921.05
ACCT-000002,CUST-000002,BR-006,2026-M02,54582.89,51302.3
ACCT-000002,CUST-000002,BR-006,2026-M03,55590.65,51206.9
ACCT-000002,CUST-000002,BR-006,2026-M04,57369.76,55462.3
ACCT-000002,CUST-000002,BR-006,2026-M05,51771.46,49216.52
ACCT-000002,CUST-000002,BR-006,2026-M06,54391.19,50433.15
ACCT-000002,CUST-000002,BR-006,2026-M07,53814.97,48974.03
ACCT-000002,CUST-000002,BR-006,2026-M08,53216.92,50303.41
ACCT-000002,CUST-000002,BR-006,2026-M09,54896.05,52485.83
ACCT-000002,CUST-000002,BR-006,2026-M10,54527.62,50247.1
ACCT-000002,CUST-000002,BR-006,2026-M11,54629.38,50708.37
ACCT-000002,CUST-000002,BR-006,2026-M12,55868.0,51245.59
ACCT-000003,CUST-000003,BR-002,2025-M01,5291.99,5043.79
ACCT-000003,CUST-000003,BR-002,2025-M02,5162.67,4994.8
ACCT-000003,CUST-000003,BR-002,2025-M03,5181.47,4840.38
ACCT-000003,CUST-000003,BR-002,2025-M04,5307.06,4989.9
ACCT-000003,CUST-000003,BR-002,2025-M05,5453.86,5025.52
ACCT-000003,CUST-000003,BR-002,2025-M06,5153.44,4843.16
ACCT-000003,CUST-000003,BR-002,2025-M07,5068.79,4686.39
ACCT-000003,CUST-000003,BR-002,2025-M08,4961.78,4669.47
ACCT-000003,CUST-000003,BR-002,2025-M09,5124.45,4954.38
ACCT-000003,CUST-000003,BR-002,2025-M10,5127.33,4759.2
ACCT-000003,CUST-000003,BR-002,2025-M11,5414.28,5221.92
ACCT-000003,CUST-000003,BR-002,2025-M12,5526.3,5127.6
ACCT-000003,CUST-000003,BR-002,2026-M01,5278.23,4925.59
ACCT-000003,CUST-000003,BR-002,2026-M02,5558.03,5192.16
ACCT-000003,CUST-000003,BR-002,2026-M03,5407.42,5147.6
