period_id,branch_id,account_id,gl_account_code,amount_usd,entry_type
2026-M01,BR-002,ACCT-000347,610510,112.93,debit
2026-M01,BR-002,ACCT-000347,610275,69.22,debit
2026-M01,BR-002,ACCT-000347,221130,182.15,credit
2026-M01,BR-002,ACCT-000004,610510,443.03,debit
2026-M01,BR-002,ACCT-000004,610275,271.54,debit
2026-M01,BR-002,ACCT-000004,221130,714.57,credit
2026-M01,BR-004,ACCT-000087,610510,183.27,debit
2026-M01,BR-004,ACCT-000087,610275,112.33,debit
2026-M01,BR-004,ACCT-000087,221130,295.6,credit
2026-M01,BR-005,ACCT-000123,610510,223.52,debit
2026-M01,BR-005,ACCT-000123,610275,136.99,debit
2026-M01,BR-005,ACCT-000123,221130,360.51,credit
2026-M01,BR-005,ACCT-000324,610510,120.77,debit
2026-M01,BR-005,ACCT-000324,610275,74.02,debit
2026-M01,BR-005,ACCT-000324,221130,194.79,credit
2026-M01,BR-006,ACCT-000069,610510,263.9,debit
2026-M01,BR-006,ACCT-000069,610275,161.75,debit
2026-M01,BR-006,ACCT-000069,221130,425.65,credit
2026-M01,BR-011,ACCT-000320,610510,597.08,debit
2026-M01,BR-011,ACCT-000320,610275,365.96,debit
2026-M01,BR-011,ACCT-000320,221130,963.04,credit
2026-M01,BR-012,ACCT-000027,610510,118.13,debit
2026-M01,BR-012,ACCT-000027,610275,72.4,debit
2026-M01,BR-012,ACCT-000027,221130,190.53,credit
2026-M02,BR-002,ACCT-000041,610510,108.46,debit
2026-M02,BR-002,ACCT-000041,610275,66.47,debit
2026-M02,BR-002,ACCT-000041,221130,174.93,credit
2026-M02,BR-004,ACCT-000188,610510,104.51,debit
2026-M02,BR-004,ACCT-000188,610275,64.06,debit
2026-M02,BR-004,ACCT-000188,221130,168.57,credit
2026-M02,BR-007,ACCT-000022,610510,106.95,debit
2026-M02,BR-007,ACCT-000022,610275,65.55,debit
2026-M02,BR-007,ACCT-000022,221130,172.5,credit
2026-M02,BR-009,ACCT-000357,610510,291.41,debit
2026-M02,BR-009,ACCT-000357,610275,178.61,debit
2026-M02,BR-009,ACCT-000357,221130,470.02,credit
2026-M02,BR-012,ACCT-000032,610510,572.85,debit
2026-M02,BR-012,ACCT-000032,610275,351.1,debit
2026-M02,BR-012,ACCT-000032,221130,923.95,credit
2026-M03,BR-001,ACCT-000245,610510,221.32,debit
2026-M03,BR-001,ACCT-000245,610275,135.65,debit
2026-M03,BR-001,ACCT-000245,221130,356.97,credit
2026-M03,BR-004,ACCT-000083,610510,223.73,debit
2026-M03,BR-004,ACCT-000083,610275,137.13,debit
2026-M03,BR-004,ACCT-000083,221130,360.86,credit
2026-M03,BR-005,ACCT-000344,610510,280.34,debit
2026-M03,BR-005,ACCT-000344,610275,171.82,debit
2026-M03,BR-005,ACCT-000344,221130,452.16,credit
2026-M03,BR-007,ACCT-000209,610510,245.4,debit
2026-M03,BR-007,ACCT-000209,610275,150.41,debit
2026-M03,BR-007,ACCT-000209,221130,395.81,credit
2026-M03,BR-008,ACCT-000010,610510,503.06,debit
2026-M03,BR-008,ACCT-000010,610275,308.32,debit
2026-M03,BR-008,ACCT-000010,221130,811.38,credit
2026-M03,BR-009,ACCT-000025,610510,273.07,debit
2026-M03,BR-009,ACCT-000025,610275,167.36,debit
2026-M03,BR-009,ACCT-000025,221130,440.43,credit
2026-M03,BR-010,ACCT-000090,610510,141.6,debit
2026-M03,BR-010,ACCT-000090,610275,86.79,debit
2026-M03,BR-010,ACCT-000090,221130,228.39,credit
2026-M03,BR-011,ACCT-000095,610510,249.33,debit
2026-M03,BR-011,ACCT-000095,610275,152.81,debit
2026-M03,BR-011,ACCT-000095,221130,402.14,credit
2026-M03,BR-011,ACCT-000063,610510,296.78,debit
2026-M03,BR-011,ACCT-000063,610275,181.89,debit
2026-M03,BR-011,ACCT-000063,221130,478.67,credit
2026-M03,BR-012,ACCT-000049,610510,307.51,debit
2026-M03,BR-012,ACCT-000049,610275,188.47,debit
2026-M03,BR-012,ACCT-000049,221130,495.98,credit
2026-M04,BR-004,ACCT-000261,610510,207.73,debit
2026-M04,BR-004,ACCT-000261,610275,127.32,debit
2026-M04,BR-004,ACCT-000261,221130,335.05,credit
2026-M04,BR-008,ACCT-000220,610510,243.03,debit
2026-M04,BR-008,ACCT-000220,610275,148.95,debit
2026-M04,BR-008,ACCT-000220,221130,391.98,credit
2026-M05,BR-001,ACCT-000151,610510,297.48,debit
2026-M05,BR-001,ACCT-000151,610275,182.33,debit
