canonical_name,local_name,row_count,csv_path
main.certified.calendar_periods,certified.calendar_periods,32,certified/calendar_periods.csv
main.certified.branches,certified.branches,12,certified/branches.csv
main.certified.products,certified.products,6,certified/products.csv
main.certified.channels,certified.channels,8,certified/channels.csv
main.certified.genders,certified.genders,3,certified/genders.csv
main.certified.marital_statuses,certified.marital_statuses,4,certified/marital_statuses.csv
main.certified.countries,certified.countries,8,certified/countries.csv
main.certified.languages,certified.languages,5,certified/languages.csv
main.certified.employees,certified.employees,72,certified/employees.csv
main.certified.customers,certified.customers,360,certified/customers.csv
main.certified.accounts,certified.accounts,360,certified/accounts.csv
main.finance_core.fee_revenue,finance_core.fee_revenue,1728,finance_core/fee_revenue.csv
main.hr_people.employee_directory,hr_people.employee_directory,72,hr_people/employee_directory.csv
main.marketing_campaigns.campaigns,marketing_campaigns.campaigns,12,marketing_campaigns/campaigns.csv
main.certified.customer_personal_details,certified.customer_personal_details,360,certified/customer_personal_details.csv
main.certified.customer_employment_details,certified.customer_employment_details,360,certified/customer_employment_details.csv
main.certified.customer_identifications,certified.customer_identifications,720,certified/customer_identifications.csv
main.certified.customer_next_of_kin,certified.customer_next_of_kin,360,certified/customer_next_of_kin.csv
main.certified.customer_channel_enrollments,certified.customer_channel_enrollments,2520,certified/customer_channel_enrollments.csv
main.hr_people.departments,hr_people.departments,5,hr_people/departments.csv
main.hr_people.job_roles,hr_people.job_roles,9,hr_people/job_roles.csv
main.hr_people.employee_assignments,hr_people.employee_assignments,72,hr_people/employee_assignments.csv
main.hr_people.reporting_lines,hr_people.reporting_lines,60,hr_people/reporting_lines.csv
main.hr_people.time_off_requests,hr_people.time_off_requests,143,hr_people/time_off_requests.csv
main.hr_people.performance_reviews,hr_people.performance_reviews,102,hr_people/performance_reviews.csv
main.hr_people.onboarding_cases,hr_people.onboarding_cases,31,hr_people/onboarding_cases.csv
main.hr_payroll.employee_compensation_history,hr_payroll.employee_compensation_history,1666,hr_payroll/employee_compensation_history.csv
main.hr_payroll.payroll_runs,hr_payroll.payroll_runs,1666,hr_payroll/payroll_runs.csv
main.hr_benefits.benefit_plans,hr_benefits.benefit_plans,5,hr_benefits/benefit_plans.csv
main.hr_benefits.benefit_enrollments,hr_benefits.benefit_enrollments,288,hr_benefits/benefit_enrollments.csv
main.marketing_attribution.lead_conversions,marketing_attribution.lead_conversions,94,marketing_attribution/lead_conversions.csv
main.communication_threads.incident_threads,communication_threads.incident_threads,79,communication_threads/incident_threads.csv
main.ops_branch.branch_incidents,ops_branch.branch_incidents,79,ops_branch/branch_incidents.csv
main.communication_threads.channel_messages,communication_threads.channel_messages,1437,communication_threads/channel_messages.csv
main.finance_core.deposit_balances,finance_core.deposit_balances,3866,finance_core/deposit_balances.csv
main.ops_branch.service_sla_events,ops_branch.service_sla_events,79,ops_branch/service_sla_events.csv
main.communication_threads.campaign_announcements,communication_threads.campaign_announcements,34,communication_threads/campaign_announcements.csv
main.hr_people.employee_changes,hr_people.employee_changes,18,hr_people/employee_changes.csv
main.finance_gl.gl_entries,finance_gl.gl_entries,237,finance_gl/gl_entries.csv
