benefit_enrollment_id,employee_id,benefit_plan_id,coverage_tier,enrollment_status,effective_date,employee_monthly_contribution_usd
BENENR-0000001,EMP-000001,BEN-MED-PPO,employee_only,active,2020-04-18,210.38
BENENR-0000002,EMP-000001,BEN-DENTAL,employee_spouse,active,2020-04-18,20.2
BENENR-0000003,EMP-000001,BEN-VISION,employee_only,active,2020-04-18,3.98
BENENR-0000004,EMP-000001,BEN-401K,employee_only,active,2020-04-18,0.04
BENENR-0000005,EMP-000002,BEN-MED-PPO,family,active,2021-05-08,499.7
BENENR-0000006,EMP-000002,BEN-DENTAL,employee_only,active,2021-05-08,15.57
BENENR-0000007,EMP-000002,BEN-VISION,employee_only,active,2021-05-08,4.02
BENENR-0000008,EMP-000002,BEN-401K,employee_only,active,2021-05-08,0.06
BENENR-0000009,EMP-000003,BEN-MED-HSA,employee_only,active,2026-01-09,181.85
BENENR-0000010,EMP-000003,BEN-DENTAL,employee_only,active,2026-01-09,13.55
BENENR-0000011,EMP-000003,BEN-VISION,employee_only,active,2026-01-09,4.02
BENENR-0000012,EMP-000003,BEN-401K,employee_only,active,2026-01-09,0.03
BENENR-0000013,EMP-000004,BEN-MED-HSA,employee_only,active,2024-11-28,113.53
BENENR-0000014,EMP-000004,BEN-DENTAL,family,active,2024-11-28,30.07
BENENR-0000015,EMP-000004,BEN-VISION,employee_only,active,2024-11-28,5.82
BENENR-0000016,EMP-000004,BEN-401K,employee_only,active,2024-11-28,0.03
BENENR-0000017,EMP-000005,BEN-MED-HSA,family,active,2018-05-12,343.98
BENENR-0000018,EMP-000005,BEN-DENTAL,employee_spouse,active,2018-05-12,28.01
BENENR-0000019,EMP-000005,BEN-VISION,employee_only,active,2018-05-12,5.87
BENENR-0000020,EMP-000005,BEN-401K,employee_only,active,2018-05-12,0.05
BENENR-0000021,EMP-000006,BEN-MED-PPO,employee_spouse,active,2019-12-15,355.41
BENENR-0000022,EMP-000006,BEN-DENTAL,family,active,2019-12-15,35.31
BENENR-0000023,EMP-000006,BEN-VISION,employee_only,active,2019-12-15,6.19
BENENR-0000024,EMP-000006,BEN-401K,employee_only,active,2019-12-15,0.06
BENENR-0000025,EMP-000007,BEN-MED-HSA,family,active,2024-08-27,425.86
BENENR-0000026,EMP-000007,BEN-DENTAL,employee_only,active,2024-08-27,15.14
BENENR-0000027,EMP-000007,BEN-VISION,employee_only,active,2024-08-27,5.22
BENENR-0000028,EMP-000007,BEN-401K,employee_only,active,2024-08-27,0.05
BENENR-0000029,EMP-000008,BEN-MED-HSA,employee_only,active,2018-07-20,131.18
BENENR-0000030,EMP-000008,BEN-DENTAL,employee_spouse,active,2018-07-20,24.26
BENENR-0000031,EMP-000008,BEN-VISION,employee_only,active,2018-07-20,6.32
BENENR-0000032,EMP-000008,BEN-401K,employee_only,active,2018-07-20,0.03
BENENR-0000033,EMP-000009,BEN-MED-PPO,employee_only,active,2024-12-05,138.84
BENENR-0000034,EMP-000009,BEN-DENTAL,employee_only,active,2024-12-05,12.91
BENENR-0000035,EMP-000009,BEN-VISION,employee_only,active,2024-12-05,5.52
BENENR-0000036,EMP-000009,BEN-401K,employee_only,active,2024-12-05,0.06
BENENR-0000037,EMP-000010,BEN-MED-PPO,family,active,2020-05-02,490.77
BENENR-0000038,EMP-000010,BEN-DENTAL,family,active,2020-05-02,40.09
BENENR-0000039,EMP-000010,BEN-VISION,employee_only,active,2020-05-02,5.52
BENENR-0000040,EMP-000010,BEN-401K,employee_only,active,2020-05-02,0.03
BENENR-0000041,EMP-000011,BEN-MED-PPO,employee_spouse,active,2025-06-04,282.64
BENENR-0000042,EMP-000011,BEN-DENTAL,employee_spouse,active,2025-06-04,26.26
BENENR-0000043,EMP-000011,BEN-VISION,employee_only,active,2025-06-04,5.37
BENENR-0000044,EMP-000011,BEN-401K,employee_only,active,2025-06-04,0.06
BENENR-0000045,EMP-000012,BEN-MED-HSA,employee_only,active,2020-06-06,125.15
BENENR-0000046,EMP-000012,BEN-DENTAL,employee_spouse,active,2020-06-06,26.28
BENENR-0000047,EMP-000012,BEN-VISION,employee_only,active,2020-06-06,4.52
BENENR-0000048,EMP-000012,BEN-401K,employee_only,active,2020-06-06,0.04
BENENR-0000049,EMP-000013,BEN-MED-PPO,employee_spouse,active,2021-07-23,334.32
BENENR-0000050,EMP-000013,BEN-DENTAL,employee_only,active,2021-07-23,11.85
BENENR-0000051,EMP-000013,BEN-VISION,employee_only,active,2021-07-23,6.11
BENENR-0000052,EMP-000013,BEN-401K,employee_only,active,2021-07-23,0.06
BENENR-0000053,EMP-000014,BEN-MED-HSA,employee_only,active,2023-05-19,181.99
BENENR-0000054,EMP-000014,BEN-DENTAL,employee_only,active,2023-05-19,10.67
BENENR-0000055,EMP-000014,BEN-VISION,employee_only,active,2023-05-19,5.99
BENENR-0000056,EMP-000014,BEN-401K,employee_only,active,2023-05-19,0.03
BENENR-0000057,EMP-000015,BEN-MED-HSA,employee_spouse,active,2019-02-03,289.79
BENENR-0000058,EMP-000015,BEN-DENTAL,employee_only,active,2019-02-03,16.68
BENENR-0000059,EMP-000015,BEN-VISION,employee_only,active,2019-02-03,4.83
BENENR-0000060,EMP-000015,BEN-401K,employee_only,active,2019-02-03,0.06
BENENR-0000061,EMP-000016,BEN-MED-PPO,employee_only,active,2022-07-16,211.32
BENENR-0000062,EMP-000016,BEN-DENTAL,family,active,2022-07-16,36.93
BENENR-0000063,EMP-000016,BEN-VISION,employee_only,active,2022-07-16,3.99
BENENR-0000064,EMP-000016,BEN-401K,employee_only,active,2022-07-16,0.06
BENENR-0000065,EMP-000017,BEN-MED-PPO,employee_only,active,2022-02-14,150.75
BENENR-0000066,EMP-000017,BEN-DENTAL,family,active,2022-02-14,30.62
BENENR-0000067,EMP-000017,BEN-VISION,employee_only,active,2022-02-14,5.14
BENENR-0000068,EMP-000017,BEN-401K,employee_only,active,2022-02-14,0.04
BENENR-0000069,EMP-000018,BEN-MED-HSA,family,active,2024-05-09,415.77
BENENR-0000070,EMP-000018,BEN-DENTAL,family,active,2024-05-09,33.93
BENENR-0000071,EMP-000018,BEN-VISION,employee_only,active,2024-05-09,5.09
BENENR-0000072,EMP-000018,BEN-401K,employee_only,active,2024-05-09,0.06
BENENR-0000073,EMP-000019,BEN-MED-PPO,employee_only,active,2026-01-19,140.96
BENENR-0000074,EMP-000019,BEN-DENTAL,employee_only,active,2026-01-19,11.77
BENENR-0000075,EMP-000019,BEN-VISION,employee_only,active,2026-01-19,4.15
BENENR-0000076,EMP-000019,BEN-401K,employee_only,active,2026-01-19,0.05
BENENR-0000077,EMP-000020,BEN-MED-HSA,employee_only,active,2023-05-26,151.03
BENENR-0000078,EMP-000020,BEN-DENTAL,family,active,2023-05-26,36.25
BENENR-0000079,EMP-000020,BEN-VISION,employee_only,active,2023-05-26,4.01
BENENR-0000080,EMP-000020,BEN-401K,employee_only,active,2023-05-26,0.05
BENENR-0000081,EMP-000021,BEN-MED-PPO,family,active,2021-05-10,401.11
BENENR-0000082,EMP-000021,BEN-DENTAL,employee_only,active,2021-05-10,12.83
BENENR-0000083,EMP-000021,BEN-VISION,employee_only,active,2021-05-10,6.13
BENENR-0000084,EMP-000021,BEN-401K,employee_only,active,2021-05-10,0.04
BENENR-0000085,EMP-000022,BEN-MED-PPO,family,active,2021-05-02,538.43
BENENR-0000086,EMP-000022,BEN-DENTAL,family,active,2021-05-02,32.25
BENENR-0000087,EMP-000022,BEN-VISION,employee_only,active,2021-05-02,4.06
BENENR-0000088,EMP-000022,BEN-401K,employee_only,active,2021-05-02,0.04
BENENR-0000089,EMP-000023,BEN-MED-HSA,employee_only,active,2021-06-05,123.1
BENENR-0000090,EMP-000023,BEN-DENTAL,employee_only,active,2021-06-05,16.39
BENENR-0000091,EMP-000023,BEN-VISION,employee_only,active,2021-06-05,4.92
BENENR-0000092,EMP-000023,BEN-401K,employee_only,active,2021-06-05,0.06
BENENR-0000093,EMP-000024,BEN-MED-PPO,employee_only,active,2024-08-05,208.58
BENENR-0000094,EMP-000024,BEN-DENTAL,employee_only,active,2024-08-05,11.18
BENENR-0000095,EMP-000024,BEN-VISION,employee_only,active,2024-08-05,4.68
BENENR-0000096,EMP-000024,BEN-401K,employee_only,active,2024-08-05,0.03
BENENR-0000097,EMP-000025,BEN-MED-HSA,family,active,2020-08-26,405.64
BENENR-0000098,EMP-000025,BEN-DENTAL,family,active,2020-08-26,41.45
BENENR-0000099,EMP-000025,BEN-VISION,employee_only,active,2020-08-26,5.56
BENENR-0000100,EMP-000025,BEN-401K,employee_only,active,2020-08-26,0.03
BENENR-0000101,EMP-000026,BEN-MED-PPO,employee_spouse,active,2019-06-02,340.65
BENENR-0000102,EMP-000026,BEN-DENTAL,employee_only,active,2019-06-02,14.29
BENENR-0000103,EMP-000026,BEN-VISION,employee_only,active,2019-06-02,6.02
BENENR-0000104,EMP-000026,BEN-401K,employee_only,active,2019-06-02,0.03
BENENR-0000105,EMP-000027,BEN-MED-HSA,employee_only,active,2020-10-03,129.83
BENENR-0000106,EMP-000027,BEN-DENTAL,employee_spouse,active,2020-10-03,22.2
BENENR-0000107,EMP-000027,BEN-VISION,employee_only,active,2020-10-03,4.34
BENENR-0000108,EMP-000027,BEN-401K,employee_only,active,2020-10-03,0.04
BENENR-0000109,EMP-000028,BEN-MED-HSA,employee_only,active,2018-04-07,118.28
BENENR-0000110,EMP-000028,BEN-DENTAL,employee_spouse,active,2018-04-07,23.95
BENENR-0000111,EMP-000028,BEN-VISION,employee_only,active,2018-04-07,4.25
BENENR-0000112,EMP-000028,BEN-401K,employee_only,active,2018-04-07,0.04
BENENR-0000113,EMP-000029,BEN-MED-PPO,employee_only,active,2018-12-07,192.15
BENENR-0000114,EMP-000029,BEN-DENTAL,employee_only,active,2018-12-07,14.6
BENENR-0000115,EMP-000029,BEN-VISION,employee_only,active,2018-12-07,4.33
BENENR-0000116,EMP-000029,BEN-401K,employee_only,active,2018-12-07,0.06
BENENR-0000117,EMP-000030,BEN-MED-HSA,employee_spouse,active,2018-10-21,277.3
BENENR-0000118,EMP-000030,BEN-DENTAL,employee_only,active,2018-10-21,14.36
BENENR-0000119,EMP-000030,BEN-VISION,employee_only,active,2018-10-21,5.32
BENENR-0000120,EMP-000030,BEN-401K,employee_only,active,2018-10-21,0.05
BENENR-0000121,EMP-000031,BEN-MED-PPO,employee_spouse,active,2024-04-03,306.09
BENENR-0000122,EMP-000031,BEN-DENTAL,family,active,2024-04-03,34.23
BENENR-0000123,EMP-000031,BEN-VISION,employee_only,active,2024-04-03,5.71
BENENR-0000124,EMP-000031,BEN-401K,employee_only,active,2024-04-03,0.06
BENENR-0000125,EMP-000032,BEN-MED-PPO,employee_spouse,active,2023-11-11,304.66
BENENR-0000126,EMP-000032,BEN-DENTAL,employee_only,active,2023-11-11,14.9
BENENR-0000127,EMP-000032,BEN-VISION,employee_only,active,2023-11-11,4.0
BENENR-0000128,EMP-000032,BEN-401K,employee_only,active,2023-11-11,0.04
BENENR-0000129,EMP-000033,BEN-MED-HSA,employee_only,active,2023-08-28,176.56
BENENR-0000130,EMP-000033,BEN-DENTAL,employee_only,active,2023-08-28,14.88
BENENR-0000131,EMP-000033,BEN-VISION,employee_only,active,2023-08-28,5.46
BENENR-0000132,EMP-000033,BEN-401K,employee_only,active,2023-08-28,0.03
BENENR-0000133,EMP-000034,BEN-MED-PPO,employee_only,active,2021-10-11,156.26
BENENR-0000134,EMP-000034,BEN-DENTAL,employee_only,active,2021-10-11,16.42
BENENR-0000135,EMP-000034,BEN-VISION,employee_only,active,2021-10-11,6.11
BENENR-0000136,EMP-000034,BEN-401K,employee_only,active,2021-10-11,0.05
BENENR-0000137,EMP-000035,BEN-MED-PPO,employee_spouse,active,2023-10-27,325.6
BENENR-0000138,EMP-000035,BEN-DENTAL,family,active,2023-10-27,33.96
BENENR-0000139,EMP-000035,BEN-VISION,employee_only,active,2023-10-27,6.25
BENENR-0000140,EMP-000035,BEN-401K,employee_only,active,2023-10-27,0.05
BENENR-0000141,EMP-000036,BEN-MED-PPO,employee_spouse,active,2019-05-17,246.35
BENENR-0000142,EMP-000036,BEN-DENTAL,employee_only,active,2019-05-17,12.0
BENENR-0000143,EMP-000036,BEN-VISION,employee_only,active,2019-05-17,4.79
BENENR-0000144,EMP-000036,BEN-401K,employee_only,active,2019-05-17,0.03
BENENR-0000145,EMP-000037,BEN-MED-HSA,employee_only,active,2025-04-15,148.11
BENENR-0000146,EMP-000037,BEN-DENTAL,family,active,2025-04-15,39.85
BENENR-0000147,EMP-000037,BEN-VISION,employee_only,active,2025-04-15,5.64
BENENR-0000148,EMP-000037,BEN-401K,employee_only,active,2025-04-15,0.06
BENENR-0000149,EMP-000038,BEN-MED-PPO,employee_only,active,2022-02-03,210.59
BENENR-0000150,EMP-000038,BEN-DENTAL,employee_only,active,2022-02-03,11.53
BENENR-0000151,EMP-000038,BEN-VISION,employee_only,active,2022-02-03,5.8
BENENR-0000152,EMP-000038,BEN-401K,employee_only,active,2022-02-03,0.06
BENENR-0000153,EMP-000039,BEN-MED-HSA,employee_only,active,2025-08-02,144.09
BENENR-0000154,EMP-000039,BEN-DENTAL,employee_only,active,2025-08-02,11.05
BENENR-0000155,EMP-000039,BEN-VISION,employee_only,active,2025-08-02,5.87
BENENR-0000156,EMP-000039,BEN-401K,employee_only,active,2025-08-02,0.04
BENENR-0000157,EMP-000040,BEN-MED-HSA,employee_only,active,2019-04-21,151.69
BENENR-0000158,EMP-000040,BEN-DENTAL,employee_only,active,2019-04-21,10.72
BENENR-0000159,EMP-000040,BEN-VISION,employee_only,active,2019-04-21,5.73
BENENR-0000160,EMP-000040,BEN-401K,employee_only,active,2019-04-21,0.05
BENENR-0000161,EMP-000041,BEN-MED-PPO,employee_spouse,active,2022-01-23,286.16
BENENR-0000162,EMP-000041,BEN-DENTAL,employee_only,active,2022-01-23,13.9
BENENR-0000163,EMP-000041,BEN-VISION,employee_only,active,2022-01-23,4.1
BENENR-0000164,EMP-000041,BEN-401K,employee_only,active,2022-01-23,0.05
BENENR-0000165,EMP-000042,BEN-MED-HSA,employee_only,active,2023-08-27,182.65
BENENR-0000166,EMP-000042,BEN-DENTAL,employee_spouse,active,2023-08-27,27.47
BENENR-0000167,EMP-000042,BEN-VISION,employee_only,active,2023-08-27,4.15
BENENR-0000168,EMP-000042,BEN-401K,employee_only,active,2023-08-27,0.04
BENENR-0000169,EMP-000043,BEN-MED-HSA,family,active,2022-01-18,302.41
BENENR-0000170,EMP-000043,BEN-DENTAL,employee_only,active,2022-01-18,16.99
BENENR-0000171,EMP-000043,BEN-VISION,employee_only,active,2022-01-18,4.08
BENENR-0000172,EMP-000043,BEN-401K,employee_only,active,2022-01-18,0.04
BENENR-0000173,EMP-000044,BEN-MED-HSA,employee_only,active,2021-08-26,134.48
BENENR-0000174,EMP-000044,BEN-DENTAL,employee_only,active,2021-08-26,13.75
BENENR-0000175,EMP-000044,BEN-VISION,employee_only,active,2021-08-26,4.06
BENENR-0000176,EMP-000044,BEN-401K,employee_only,active,2021-08-26,0.04
BENENR-0000177,EMP-000045,BEN-MED-PPO,employee_spouse,active,2019-05-31,290.08
BENENR-0000178,EMP-000045,BEN-DENTAL,family,active,2019-05-31,36.87
BENENR-0000179,EMP-000045,BEN-VISION,employee_only,active,2019-05-31,6.44
BENENR-0000180,EMP-000045,BEN-401K,employee_only,active,2019-05-31,0.03
BENENR-0000181,EMP-000046,BEN-MED-PPO,employee_only,active,2021-02-17,186.64
BENENR-0000182,EMP-000046,BEN-DENTAL,employee_only,active,2021-02-17,15.91
BENENR-0000183,EMP-000046,BEN-VISION,employee_only,active,2021-02-17,5.43
BENENR-0000184,EMP-000046,BEN-401K,employee_only,active,2021-02-17,0.04
BENENR-0000185,EMP-000047,BEN-MED-PPO,family,active,2019-12-29,543.42
