employee_id,period_id,branch_id,base_pay_usd,bonus_pay_usd,total_pay_usd
EMP-000001,2025-M01,BR-001,9370.02,280.11,9650.13
EMP-000001,2025-M02,BR-001,9591.95,454.28,10046.23
EMP-000001,2025-M03,BR-001,10088.58,1450.9,11539.48
EMP-000001,2025-M04,BR-001,9503.98,443.12,9947.1
EMP-000001,2025-M05,BR-001,9594.0,384.12,9978.12
EMP-000001,2025-M06,BR-001,9555.91,2096.55,11652.46
EMP-000001,2025-M07,BR-001,9339.81,480.74,9820.55
EMP-000001,2025-M08,BR-001,9444.74,352.01,9796.75
EMP-000001,2025-M09,BR-001,9467.81,1571.68,11039.49
EMP-000001,2025-M10,BR-001,9645.21,494.7,10139.91
EMP-000001,2025-M11,BR-001,9359.72,318.29,9678.01
EMP-000001,2025-M12,BR-001,9487.76,1571.49,11059.25
EMP-000001,2026-M01,BR-001,9228.07,296.46,9524.53
EMP-000001,2026-M02,BR-001,9217.87,433.33,9651.2
EMP-000001,2026-M03,BR-001,9859.91,1904.86,11764.77
EMP-000001,2026-M04,BR-001,9300.44,494.41,9794.85
EMP-000001,2026-M05,BR-001,9321.89,295.97,9617.86
EMP-000001,2026-M06,BR-001,9653.35,1536.45,11189.8
EMP-000001,2026-M07,BR-001,9456.96,373.31,9830.27
EMP-000001,2026-M08,BR-001,9437.83,477.15,9914.98
EMP-000001,2026-M09,BR-001,9446.24,1337.0,10783.24
EMP-000001,2026-M10,BR-001,9558.02,305.33,9863.35
EMP-000001,2026-M11,BR-001,9341.4,367.05,9708.45
EMP-000001,2026-M12,BR-001,9369.69,1492.71,10862.4
EMP-000002,2025-M01,BR-001,5218.47,105.35,5323.82
EMP-000002,2025-M02,BR-001,5178.19,98.2,5276.39
EMP-000002,2025-M03,BR-001,5255.56,366.41,5621.97
EMP-000002,2025-M04,BR-001,5353.28,109.9,5463.18
EMP-000002,2025-M05,BR-001,5271.27,73.0,5344.27
EMP-000002,2025-M06,BR-001,5325.69,347.84,5673.53
EMP-000002,2025-M07,BR-001,5098.34,88.55,5186.89
EMP-000002,2025-M08,BR-001,5068.91,82.02,5150.93
EMP-000002,2025-M09,BR-001,5352.52,460.65,5813.17
EMP-000002,2025-M10,BR-001,5357.41,84.76,5442.17
EMP-000002,2025-M11,BR-001,5228.45,111.62,5340.07
EMP-000002,2025-M12,BR-001,5330.53,394.6,5725.13
EMP-000002,2026-M01,BR-001,5035.4,85.03,5120.43
EMP-000002,2026-M02,BR-001,5016.94,92.91,5109.85
EMP-000002,2026-M03,BR-001,5351.61,377.63,5729.24
EMP-000002,2026-M04,BR-001,5195.7,111.01,5306.71
EMP-000002,2026-M05,BR-001,5251.03,93.1,5344.13
EMP-000002,2026-M06,BR-001,5353.95,418.16,5772.11
EMP-000002,2026-M07,BR-001,5259.09,100.17,5359.26
EMP-000002,2026-M08,BR-001,5250.66,93.05,5343.71
EMP-000002,2026-M09,BR-001,5422.7,400.54,5823.24
EMP-000002,2026-M10,BR-001,5240.77,73.7,5314.47
EMP-000002,2026-M11,BR-001,5239.95,73.37,5313.32
EMP-000002,2026-M12,BR-001,5315.08,437.44,5752.52
EMP-000003,2025-M12,BR-001,5456.39,224.61,5681.0
EMP-000003,2026-M01,BR-001,5205.25,71.94,5277.19
EMP-000003,2026-M02,BR-001,5277.85,49.44,5327.29
EMP-000003,2026-M03,BR-001,5373.41,250.98,5624.39
EMP-000003,2026-M04,BR-001,5325.35,55.01,5380.36
EMP-000003,2026-M05,BR-001,5331.91,58.29,5390.2
EMP-000003,2026-M06,BR-001,5554.42,169.29,5723.71
EMP-000003,2026-M07,BR-001,5376.08,64.21,5440.29
EMP-000003,2026-M08,BR-001,5329.75,61.21,5390.96
EMP-000003,2026-M09,BR-001,5718.8,212.97,5931.77
EMP-000003,2026-M10,BR-001,5499.6,64.4,5564.0
EMP-000003,2026-M11,BR-001,5442.8,55.54,5498.34
EMP-000003,2026-M12,BR-001,5477.63,199.52,5677.15
EMP-000004,2025-M01,BR-001,5167.3,87.68,5254.98
EMP-000004,2025-M02,BR-001,5148.14,80.02,5228.16
EMP-000004,2025-M03,BR-001,5343.22,409.84,5753.06
EMP-000004,2025-M04,BR-001,5135.82,74.92,5210.74
EMP-000004,2025-M05,BR-001,5087.57,85.01,5172.58
EMP-000004,2025-M06,BR-001,5349.98,336.41,5686.39
EMP-000004,2025-M07,BR-001,5236.07,55.95,5292.02
EMP-000004,2025-M08,BR-001,5299.46,80.81,5380.27
EMP-000004,2025-M09,BR-001,5243.6,251.25,5494.85
EMP-000004,2025-M10,BR-001,5246.75,72.03,5318.78
EMP-000004,2025-M11,BR-001,5237.02,85.84,5322.86
EMP-000004,2025-M12,BR-001,5340.1,339.49,5679.59
EMP-000004,2026-M01,BR-001,5292.81,87.71,5380.52
EMP-000004,2026-M02,BR-001,5385.52,75.75,5461.27
EMP-000004,2026-M03,BR-001,5294.81,224.89,5519.7
EMP-000004,2026-M04,BR-001,5374.77,81.34,5456.11
EMP-000004,2026-M05,BR-001,5367.17,75.74,5442.91
EMP-000004,2026-M06,BR-001,5654.76,286.05,5940.81
EMP-000004,2026-M07,BR-001,5400.11,79.05,5479.16
EMP-000004,2026-M08,BR-001,5394.15,68.81,5462.96
EMP-000004,2026-M09,BR-001,5518.78,302.72,5821.5
EMP-000004,2026-M10,BR-001,5470.25,50.41,5520.66
EMP-000004,2026-M11,BR-001,5496.15,104.26,5600.41
EMP-000004,2026-M12,BR-001,5600.94,394.77,5995.71
