assignment_id,employee_id,branch_id,department_id,role_id,manager_id,cost_center_id,fte,work_location_type,effective_start_date,effective_end_date,assignment_status
ASN-000001,EMP-000001,BR-001,DPT-005,ROLE-006,,CC-001-005,1.0,branch,2020-03-19,,active
ASN-000002,EMP-000002,BR-001,DPT-005,ROLE-007,EMP-000001,CC-001-005,1.0,branch,2021-04-08,,active
ASN-000003,EMP-000003,BR-001,DPT-004,ROLE-004,EMP-000001,CC-001-004,1.0,branch,2025-12-10,,active
ASN-000004,EMP-000004,BR-001,DPT-004,ROLE-005,EMP-000001,CC-001-004,1.0,branch,2024-10-29,,active
ASN-000005,EMP-000005,BR-001,DPT-005,ROLE-009,EMP-000001,CC-001-005,0.58,branch,2018-04-12,,active
ASN-000006,EMP-000006,BR-001,DPT-003,ROLE-003,EMP-000001,CC-001-003,1.0,hybrid,2019-11-15,,active
ASN-000007,EMP-000007,BR-002,DPT-005,ROLE-006,,CC-002-005,1.0,branch,2024-07-28,,active
ASN-000008,EMP-000008,BR-002,DPT-005,ROLE-007,EMP-000007,CC-002-005,1.0,branch,2018-06-20,,active
ASN-000009,EMP-000009,BR-002,DPT-004,ROLE-004,EMP-000007,CC-002-004,1.0,branch,2024-11-05,,active
ASN-000010,EMP-000010,BR-002,DPT-004,ROLE-005,EMP-000007,CC-002-004,1.0,branch,2020-04-02,,active
ASN-000011,EMP-000011,BR-002,DPT-005,ROLE-009,EMP-000007,CC-002-005,0.47,branch,2025-05-05,,active
ASN-000012,EMP-000012,BR-002,DPT-002,ROLE-002,EMP-000007,CC-002-002,1.0,branch,2020-05-07,,active
ASN-000013,EMP-000013,BR-003,DPT-005,ROLE-006,,CC-003-005,1.0,branch,2021-06-23,,active
ASN-000014,EMP-000014,BR-003,DPT-005,ROLE-007,EMP-000013,CC-003-005,1.0,branch,2023-04-19,,active
ASN-000015,EMP-000015,BR-003,DPT-004,ROLE-004,EMP-000013,CC-003-004,1.0,branch,2019-01-04,,active
ASN-000016,EMP-000016,BR-003,DPT-004,ROLE-005,EMP-000013,CC-003-004,1.0,branch,2022-06-16,,active
ASN-000017,EMP-000017,BR-003,DPT-005,ROLE-009,EMP-000013,CC-003-005,0.56,branch,2022-01-15,,active
ASN-000018,EMP-000018,BR-003,DPT-001,ROLE-001,EMP-000013,CC-003-001,1.0,remote,2024-04-09,,active
ASN-000019,EMP-000019,BR-004,DPT-005,ROLE-006,,CC-004-005,1.0,branch,2025-12-20,,active
ASN-000020,EMP-000020,BR-004,DPT-005,ROLE-007,EMP-000019,CC-004-005,1.0,branch,2023-04-26,,active
ASN-000021,EMP-000021,BR-004,DPT-004,ROLE-004,EMP-000019,CC-004-004,1.0,branch,2021-04-10,,active
ASN-000022,EMP-000022,BR-004,DPT-004,ROLE-005,EMP-000019,CC-004-004,1.0,branch,2021-04-02,,active
ASN-000023,EMP-000023,BR-004,DPT-005,ROLE-009,EMP-000019,CC-004-005,0.5,branch,2021-05-06,,active
ASN-000024,EMP-000024,BR-004,DPT-005,ROLE-008,EMP-000019,CC-004-005,1.0,branch,2024-07-06,,active
ASN-000025,EMP-000025,BR-005,DPT-005,ROLE-006,,CC-005-005,1.0,branch,2020-07-27,,active
ASN-000026,EMP-000026,BR-005,DPT-005,ROLE-007,EMP-000025,CC-005-005,1.0,branch,2019-05-03,,active
ASN-000027,EMP-000027,BR-005,DPT-004,ROLE-004,EMP-000025,CC-005-004,1.0,branch,2020-09-03,,active
ASN-000028,EMP-000028,BR-005,DPT-004,ROLE-005,EMP-000025,CC-005-004,1.0,branch,2018-03-08,,active
ASN-000029,EMP-000029,BR-005,DPT-005,ROLE-009,EMP-000025,CC-005-005,0.46,branch,2018-11-07,,active
ASN-000030,EMP-000030,BR-005,DPT-003,ROLE-003,EMP-000025,CC-005-003,1.0,branch,2018-09-21,,active
ASN-000031,EMP-000031,BR-006,DPT-005,ROLE-006,,CC-006-005,1.0,branch,2024-03-04,,active
ASN-000032,EMP-000032,BR-006,DPT-005,ROLE-007,EMP-000031,CC-006-005,1.0,branch,2023-10-12,,active
ASN-000033,EMP-000033,BR-006,DPT-004,ROLE-004,EMP-000031,CC-006-004,1.0,branch,2023-07-29,,active
ASN-000034,EMP-000034,BR-006,DPT-004,ROLE-005,EMP-000031,CC-006-004,1.0,branch,2021-09-11,,active
ASN-000035,EMP-000035,BR-006,DPT-005,ROLE-009,EMP-000031,CC-006-005,0.51,branch,2023-09-27,,active
ASN-000036,EMP-000036,BR-006,DPT-002,ROLE-002,EMP-000031,CC-006-002,1.0,remote,2019-04-17,,active
ASN-000037,EMP-000037,BR-007,DPT-005,ROLE-006,,CC-007-005,1.0,branch,2025-03-16,,active
ASN-000038,EMP-000038,BR-007,DPT-005,ROLE-007,EMP-000037,CC-007-005,1.0,branch,2022-01-04,,active
ASN-000039,EMP-000039,BR-007,DPT-004,ROLE-004,EMP-000037,CC-007-004,1.0,branch,2025-07-03,,active
ASN-000040,EMP-000040,BR-007,DPT-004,ROLE-005,EMP-000037,CC-007-004,1.0,branch,2019-03-22,,active
ASN-000041,EMP-000041,BR-007,DPT-005,ROLE-009,EMP-000037,CC-007-005,0.63,branch,2021-12-24,,active
ASN-000042,EMP-000042,BR-007,DPT-001,ROLE-001,EMP-000037,CC-007-001,1.0,branch,2023-07-28,,active
ASN-000043,EMP-000043,BR-008,DPT-005,ROLE-006,,CC-008-005,1.0,branch,2021-12-19,,active
ASN-000044,EMP-000044,BR-008,DPT-005,ROLE-007,EMP-000043,CC-008-005,1.0,branch,2021-07-27,,active
ASN-000045,EMP-000045,BR-008,DPT-004,ROLE-004,EMP-000043,CC-008-004,1.0,branch,2019-05-01,,active
ASN-000046,EMP-000046,BR-008,DPT-004,ROLE-005,EMP-000043,CC-008-004,1.0,branch,2021-01-18,,active
ASN-000047,EMP-000047,BR-008,DPT-005,ROLE-009,EMP-000043,CC-008-005,0.64,branch,2019-11-29,,active
ASN-000048,EMP-000048,BR-008,DPT-005,ROLE-008,EMP-000043,CC-008-005,1.0,branch,2020-05-31,,active
ASN-000049,EMP-000049,BR-009,DPT-005,ROLE-006,,CC-009-005,1.0,branch,2023-06-21,,active
ASN-000050,EMP-000050,BR-009,DPT-005,ROLE-007,EMP-000049,CC-009-005,1.0,branch,2023-01-16,,active
ASN-000051,EMP-000051,BR-009,DPT-004,ROLE-004,EMP-000049,CC-009-004,1.0,branch,2022-11-10,,active
ASN-000052,EMP-000052,BR-009,DPT-004,ROLE-005,EMP-000049,CC-009-004,1.0,branch,2020-11-23,,active
ASN-000053,EMP-000053,BR-009,DPT-005,ROLE-009,EMP-000049,CC-009-005,0.62,branch,2025-09-05,,active
ASN-000054,EMP-000054,BR-009,DPT-003,ROLE-003,EMP-000049,CC-009-003,1.0,branch,2018-09-14,,active
ASN-000055,EMP-000055,BR-010,DPT-005,ROLE-006,,CC-010-005,1.0,branch,2020-09-28,,active
ASN-000056,EMP-000056,BR-010,DPT-005,ROLE-007,EMP-000055,CC-010-005,1.0,branch,2018-12-11,,active
ASN-000057,EMP-000057,BR-010,DPT-004,ROLE-004,EMP-000055,CC-010-004,1.0,branch,2020-09-17,,active
ASN-000058,EMP-000058,BR-010,DPT-004,ROLE-005,EMP-000055,CC-010-004,1.0,branch,2025-09-11,,active
ASN-000059,EMP-000059,BR-010,DPT-005,ROLE-009,EMP-000055,CC-010-005,0.65,branch,2020-12-06,,active
ASN-000060,EMP-000060,BR-010,DPT-002,ROLE-002,EMP-000055,CC-010-002,1.0,branch,2025-04-08,,active
ASN-000061,EMP-000061,BR-011,DPT-005,ROLE-006,,CC-011-005,1.0,branch,2021-12-17,,active
ASN-000062,EMP-000062,BR-011,DPT-005,ROLE-007,EMP-000061,CC-011-005,1.0,branch,2023-08-07,,active
ASN-000063,EMP-000063,BR-011,DPT-004,ROLE-004,EMP-000061,CC-011-004,1.0,branch,2021-08-29,,active
ASN-000064,EMP-000064,BR-011,DPT-004,ROLE-005,EMP-000061,CC-011-004,1.0,branch,2020-02-16,,active
