employee_id,branch_id,department,role_title,manager_id,employment_status
EMP-000001,BR-001,Retail Banking,Branch Manager,,Active
EMP-000002,BR-001,Retail Banking,Relationship Banker,EMP-000001,Active
EMP-000003,BR-001,Operations,Operations Analyst,EMP-000001,Active
EMP-000004,BR-001,Operations,Service Lead,EMP-000001,Active
EMP-000005,BR-001,Retail Banking,Universal Banker,EMP-000001,Active
EMP-000006,BR-001,Marketing,Campaign Manager,EMP-000001,Active
EMP-000007,BR-002,Retail Banking,Branch Manager,,Active
EMP-000008,BR-002,Retail Banking,Relationship Banker,EMP-000007,Active
EMP-000009,BR-002,Operations,Operations Analyst,EMP-000007,Active
EMP-000010,BR-002,Operations,Service Lead,EMP-000007,Active
EMP-000011,BR-002,Retail Banking,Universal Banker,EMP-000007,Active
EMP-000012,BR-002,HR,Payroll Specialist,EMP-000007,Active
EMP-000013,BR-003,Retail Banking,Branch Manager,,Active
EMP-000014,BR-003,Retail Banking,Relationship Banker,EMP-000013,Active
EMP-000015,BR-003,Operations,Operations Analyst,EMP-000013,Active
EMP-000016,BR-003,Operations,Service Lead,EMP-000013,Active
EMP-000017,BR-003,Retail Banking,Universal Banker,EMP-000013,Active
EMP-000018,BR-003,Finance,Finance Analyst,EMP-000013,Active
EMP-000019,BR-004,Retail Banking,Branch Manager,,Active
EMP-000020,BR-004,Retail Banking,Relationship Banker,EMP-000019,Active
EMP-000021,BR-004,Operations,Operations Analyst,EMP-000019,Active
EMP-000022,BR-004,Operations,Service Lead,EMP-000019,Active
EMP-000023,BR-004,Retail Banking,Universal Banker,EMP-000019,Active
EMP-000024,BR-004,Retail Banking,Small Business Banker,EMP-000019,Active
EMP-000025,BR-005,Retail Banking,Branch Manager,,Active
EMP-000026,BR-005,Retail Banking,Relationship Banker,EMP-000025,Active
EMP-000027,BR-005,Operations,Operations Analyst,EMP-000025,Active
EMP-000028,BR-005,Operations,Service Lead,EMP-000025,Active
EMP-000029,BR-005,Retail Banking,Universal Banker,EMP-000025,Active
EMP-000030,BR-005,Marketing,Campaign Manager,EMP-000025,Active
EMP-000031,BR-006,Retail Banking,Branch Manager,,Active
EMP-000032,BR-006,Retail Banking,Relationship Banker,EMP-000031,Active
EMP-000033,BR-006,Operations,Operations Analyst,EMP-000031,Active
EMP-000034,BR-006,Operations,Service Lead,EMP-000031,Active
EMP-000035,BR-006,Retail Banking,Universal Banker,EMP-000031,Active
EMP-000036,BR-006,HR,Payroll Specialist,EMP-000031,Active
EMP-000037,BR-007,Retail Banking,Branch Manager,,Active
EMP-000038,BR-007,Retail Banking,Relationship Banker,EMP-000037,Active
EMP-000039,BR-007,Operations,Operations Analyst,EMP-000037,Active
EMP-000040,BR-007,Operations,Service Lead,EMP-000037,Active
EMP-000041,BR-007,Retail Banking,Universal Banker,EMP-000037,Active
EMP-000042,BR-007,Finance,Finance Analyst,EMP-000037,Active
EMP-000043,BR-008,Retail Banking,Branch Manager,,Active
EMP-000044,BR-008,Retail Banking,Relationship Banker,EMP-000043,Active
EMP-000045,BR-008,Operations,Operations Analyst,EMP-000043,Active
EMP-000046,BR-008,Operations,Service Lead,EMP-000043,Active
EMP-000047,BR-008,Retail Banking,Universal Banker,EMP-000043,Active
EMP-000048,BR-008,Retail Banking,Small Business Banker,EMP-000043,Active
EMP-000049,BR-009,Retail Banking,Branch Manager,,Active
EMP-000050,BR-009,Retail Banking,Relationship Banker,EMP-000049,Active
EMP-000051,BR-009,Operations,Operations Analyst,EMP-000049,Active
EMP-000052,BR-009,Operations,Service Lead,EMP-000049,Active
EMP-000053,BR-009,Retail Banking,Universal Banker,EMP-000049,Active
EMP-000054,BR-009,Marketing,Campaign Manager,EMP-000049,Active
EMP-000055,BR-010,Retail Banking,Branch Manager,,Active
EMP-000056,BR-010,Retail Banking,Relationship Banker,EMP-000055,Active
EMP-000057,BR-010,Operations,Operations Analyst,EMP-000055,Active
EMP-000058,BR-010,Operations,Service Lead,EMP-000055,Active
EMP-000059,BR-010,Retail Banking,Universal Banker,EMP-000055,Active
EMP-000060,BR-010,HR,Payroll Specialist,EMP-000055,Active
EMP-000061,BR-011,Retail Banking,Branch Manager,,Active
EMP-000062,BR-011,Retail Banking,Relationship Banker,EMP-000061,Active
EMP-000063,BR-011,Operations,Operations Analyst,EMP-000061,Active
EMP-000064,BR-011,Operations,Service Lead,EMP-000061,Active
EMP-000065,BR-011,Retail Banking,Universal Banker,EMP-000061,Active
EMP-000066,BR-011,Finance,Finance Analyst,EMP-000061,Active
EMP-000067,BR-012,Retail Banking,Branch Manager,,Active
EMP-000068,BR-012,Retail Banking,Relationship Banker,EMP-000067,Active
EMP-000069,BR-012,Operations,Operations Analyst,EMP-000067,Active
EMP-000070,BR-012,Operations,Service Lead,EMP-000067,Active
EMP-000071,BR-012,Retail Banking,Universal Banker,EMP-000067,Active
EMP-000072,BR-012,Retail Banking,Small Business Banker,EMP-000067,Active
