onboarding_case_id,employee_id,branch_id,period_id,hr_partner_employee_id,manager_id,case_status,case_opened_date,target_completion_date,actual_completion_date,completion_pct
ONB-0000001,EMP-000028,BR-005,2025-M01,EMP-000012,EMP-000025,complete,2018-02-14,2018-04-07,2018-04-07,0.9424
ONB-0000002,EMP-000045,BR-008,2025-M01,EMP-000036,EMP-000043,complete,2019-04-10,2019-05-31,2019-06-07,0.9881
ONB-0000003,EMP-000006,BR-001,2025-M01,EMP-000060,EMP-000001,complete,2019-10-28,2019-12-15,2019-12-23,0.8824
ONB-0000004,EMP-000069,BR-012,2025-M01,EMP-000012,EMP-000067,complete,2020-01-16,2020-03-04,2020-02-25,0.993
ONB-0000005,EMP-000064,BR-011,2025-M01,EMP-000036,EMP-000061,complete,2020-02-05,2020-03-17,2020-03-16,0.9288
ONB-0000006,EMP-000059,BR-010,2025-M01,EMP-000060,EMP-000055,complete,2020-11-14,2021-01-05,2020-12-24,0.9128
ONB-0000007,EMP-000013,BR-003,2025-M01,EMP-000012,,complete,2021-06-03,2021-07-23,2021-07-06,0.9668
ONB-0000008,EMP-000072,BR-012,2025-M01,EMP-000036,EMP-000067,complete,2021-07-16,2021-09-05,2021-08-25,0.9549
ONB-0000009,EMP-000061,BR-011,2025-M01,EMP-000060,,complete,2021-11-27,2022-01-16,2022-01-28,0.9617
ONB-0000010,EMP-000041,BR-007,2025-M01,EMP-000012,EMP-000037,complete,2021-12-12,2022-01-23,2022-02-03,0.9841
ONB-0000011,EMP-000014,BR-003,2025-M01,EMP-000036,EMP-000013,complete,2023-04-02,2023-05-19,2023-05-17,0.9387
ONB-0000012,EMP-000042,BR-007,2025-M01,EMP-000060,EMP-000037,complete,2023-07-14,2023-08-27,2023-08-12,0.9257
ONB-0000013,EMP-000035,BR-006,2025-M01,EMP-000012,EMP-000031,complete,2023-09-05,2023-10-27,2023-10-19,0.9004
ONB-0000014,EMP-000065,BR-011,2025-M01,EMP-000036,EMP-000061,complete,2024-01-31,2024-03-13,2024-03-26,0.8818
ONB-0000015,EMP-000031,BR-006,2025-M01,EMP-000060,,complete,2024-02-13,2024-04-03,2024-03-20,0.8957
ONB-0000016,EMP-000068,BR-012,2025-M01,EMP-000012,EMP-000067,complete,2024-03-06,2024-04-24,2024-04-06,0.889
ONB-0000017,EMP-000018,BR-003,2025-M01,EMP-000036,EMP-000013,complete,2024-03-21,2024-05-09,2024-05-24,0.8947
ONB-0000018,EMP-000071,BR-012,2025-M01,EMP-000060,EMP-000067,complete,2024-04-06,2024-05-24,2024-05-24,0.9639
ONB-0000019,EMP-000024,BR-004,2025-M01,EMP-000012,EMP-000019,complete,2024-06-23,2024-08-05,2024-08-10,0.8833
ONB-0000020,EMP-000007,BR-002,2025-M01,EMP-000036,,complete,2024-07-17,2024-08-27,2024-08-13,0.9278
ONB-0000021,EMP-000004,BR-001,2025-M01,EMP-000060,EMP-000001,complete,2024-10-14,2024-11-28,2024-11-18,0.9391
ONB-0000022,EMP-000009,BR-002,2025-M01,EMP-000012,EMP-000007,complete,2024-10-18,2024-12-05,2024-12-01,0.9266
ONB-0000023,EMP-000037,BR-007,2025-M03,EMP-000036,,complete,2025-03-04,2025-04-15,2025-04-25,0.8952
ONB-0000024,EMP-000060,BR-010,2025-M04,EMP-000060,EMP-000055,complete,2025-03-20,2025-05-08,2025-04-27,0.9482
ONB-0000025,EMP-000011,BR-002,2025-M05,EMP-000012,EMP-000007,complete,2025-04-13,2025-06-04,2025-06-05,0.9973
ONB-0000026,EMP-000039,BR-007,2025-M07,EMP-000036,EMP-000037,complete,2025-06-19,2025-08-02,2025-07-23,0.9694
ONB-0000027,EMP-000053,BR-009,2025-M09,EMP-000060,EMP-000049,complete,2025-08-20,2025-10-05,2025-10-07,0.9636
ONB-0000028,EMP-000058,BR-010,2025-M09,EMP-000012,EMP-000055,complete,2025-08-19,2025-10-11,2025-10-14,0.9249
ONB-0000029,EMP-000066,BR-011,2025-M10,EMP-000036,EMP-000061,complete,2025-09-14,2025-11-01,2025-10-19,0.9408
ONB-0000030,EMP-000003,BR-001,2025-M12,EMP-000060,EMP-000001,complete,2025-11-26,2026-01-09,2026-01-02,0.9718
ONB-0000031,EMP-000019,BR-004,2025-M12,EMP-000012,,complete,2025-12-10,2026-01-19,2026-01-13,0.9995
