review_id,employee_id,manager_id,branch_id,review_period_id,performance_rating,potential_rating,goals_met_pct,review_status
REV-0000001,EMP-000001,,BR-001,2026-Q3,4,5,0.9879,completed
REV-0000002,EMP-000001,,BR-001,2026-Q4,4,4,0.9546,completed
REV-0000003,EMP-000002,EMP-000001,BR-001,2026-Q4,3,4,0.8692,completed
REV-0000004,EMP-000003,EMP-000001,BR-001,2026-Q4,3,3,0.8393,completed
REV-0000005,EMP-000004,EMP-000001,BR-001,2026-Q4,4,5,1.0479,completed
REV-0000006,EMP-000005,EMP-000001,BR-001,2026-Q3,3,3,0.7849,completed
REV-0000007,EMP-000005,EMP-000001,BR-001,2026-Q4,3,3,0.8825,completed
REV-0000008,EMP-000006,EMP-000001,BR-001,2026-Q3,3,2,0.8699,completed
REV-0000009,EMP-000006,EMP-000001,BR-001,2026-Q4,3,3,0.9075,completed
REV-0000010,EMP-000007,,BR-002,2026-Q3,4,5,0.8217,completed
REV-0000011,EMP-000007,,BR-002,2026-Q4,3,2,0.9589,completed
REV-0000012,EMP-000008,EMP-000007,BR-002,2026-Q4,3,2,0.9695,pending_acknowledgement
REV-0000013,EMP-000009,EMP-000007,BR-002,2026-Q3,3,4,0.8596,completed
REV-0000014,EMP-000009,EMP-000007,BR-002,2026-Q4,3,3,0.9784,completed
REV-0000015,EMP-000010,EMP-000007,BR-002,2026-Q4,4,5,1.0213,completed
REV-0000016,EMP-000011,EMP-000007,BR-002,2026-Q3,3,4,0.7503,completed
REV-0000017,EMP-000011,EMP-000007,BR-002,2026-Q4,3,2,0.823,completed
REV-0000018,EMP-000012,EMP-000007,BR-002,2026-Q4,3,3,0.8092,completed
REV-0000019,EMP-000013,,BR-003,2026-Q4,3,3,0.757,calibrated
REV-0000020,EMP-000014,EMP-000013,BR-003,2026-Q3,3,2,0.8744,completed
REV-0000021,EMP-000014,EMP-000013,BR-003,2026-Q4,3,3,0.8036,completed
REV-0000022,EMP-000015,EMP-000013,BR-003,2026-Q3,3,3,0.9677,completed
REV-0000023,EMP-000015,EMP-000013,BR-003,2026-Q4,4,4,1.0122,completed
REV-0000024,EMP-000016,EMP-000013,BR-003,2026-Q3,3,3,0.887,completed
REV-0000025,EMP-000016,EMP-000013,BR-003,2026-Q4,3,3,0.909,pending_acknowledgement
REV-0000026,EMP-000017,EMP-000013,BR-003,2026-Q3,2,1,0.7389,completed
REV-0000027,EMP-000017,EMP-000013,BR-003,2026-Q4,4,3,0.9143,calibrated
