reporting_line_id,employee_id,manager_employee_id,branch_id,effective_start_date,effective_end_date,reporting_type
RPT-000001,EMP-000002,EMP-000001,BR-001,2021-04-08,,direct
RPT-000002,EMP-000003,EMP-000001,BR-001,2025-12-10,,direct
RPT-000003,EMP-000004,EMP-000001,BR-001,2024-10-29,,direct
RPT-000004,EMP-000005,EMP-000001,BR-001,2018-04-12,,direct
RPT-000005,EMP-000006,EMP-000001,BR-001,2019-11-15,,direct
RPT-000006,EMP-000008,EMP-000007,BR-002,2018-06-20,,direct
RPT-000007,EMP-000009,EMP-000007,BR-002,2024-11-05,,direct
RPT-000008,EMP-000010,EMP-000007,BR-002,2020-04-02,,direct
RPT-000009,EMP-000011,EMP-000007,BR-002,2025-05-05,,direct
RPT-000010,EMP-000012,EMP-000007,BR-002,2020-05-07,,direct
RPT-000011,EMP-000014,EMP-000013,BR-003,2023-04-19,,direct
RPT-000012,EMP-000015,EMP-000013,BR-003,2019-01-04,,direct
RPT-000013,EMP-000016,EMP-000013,BR-003,2022-06-16,,direct
RPT-000014,EMP-000017,EMP-000013,BR-003,2022-01-15,,direct
RPT-000015,EMP-000018,EMP-000013,BR-003,2024-04-09,,direct
RPT-000016,EMP-000020,EMP-000019,BR-004,2023-04-26,,direct
RPT-000017,EMP-000021,EMP-000019,BR-004,2021-04-10,,direct
RPT-000018,EMP-000022,EMP-000019,BR-004,2021-04-02,,direct
RPT-000019,EMP-000023,EMP-000019,BR-004,2021-05-06,,direct
RPT-000020,EMP-000024,EMP-000019,BR-004,2024-07-06,,direct
RPT-000021,EMP-000026,EMP-000025,BR-005,2019-05-03,,direct
RPT-000022,EMP-000027,EMP-000025,BR-005,2020-09-03,,direct
RPT-000023,EMP-000028,EMP-000025,BR-005,2018-03-08,,direct
RPT-000024,EMP-000029,EMP-000025,BR-005,2018-11-07,,direct
RPT-000025,EMP-000030,EMP-000025,BR-005,2018-09-21,,direct
RPT-000026,EMP-000032,EMP-000031,BR-006,2023-10-12,,direct
RPT-000027,EMP-000033,EMP-000031,BR-006,2023-07-29,,direct
RPT-000028,EMP-000034,EMP-000031,BR-006,2021-09-11,,direct
RPT-000029,EMP-000035,EMP-000031,BR-006,2023-09-27,,direct
RPT-000030,EMP-000036,EMP-000031,BR-006,2019-04-17,,direct
RPT-000031,EMP-000038,EMP-000037,BR-007,2022-01-04,,direct
RPT-000032,EMP-000039,EMP-000037,BR-007,2025-07-03,,direct
RPT-000033,EMP-000040,EMP-000037,BR-007,2019-03-22,,direct
RPT-000034,EMP-000041,EMP-000037,BR-007,2021-12-24,,direct
RPT-000035,EMP-000042,EMP-000037,BR-007,2023-07-28,,direct
RPT-000036,EMP-000044,EMP-000043,BR-008,2021-07-27,,direct
RPT-000037,EMP-000045,EMP-000043,BR-008,2019-05-01,,direct
RPT-000038,EMP-000046,EMP-000043,BR-008,2021-01-18,,direct
RPT-000039,EMP-000047,EMP-000043,BR-008,2019-11-29,,direct
RPT-000040,EMP-000048,EMP-000043,BR-008,2020-05-31,,direct
RPT-000041,EMP-000050,EMP-000049,BR-009,2023-01-16,,direct
RPT-000042,EMP-000051,EMP-000049,BR-009,2022-11-10,,direct
RPT-000043,EMP-000052,EMP-000049,BR-009,2020-11-23,,direct
RPT-000044,EMP-000053,EMP-000049,BR-009,2025-09-05,,direct
RPT-000045,EMP-000054,EMP-000049,BR-009,2018-09-14,,direct
RPT-000046,EMP-000056,EMP-000055,BR-010,2018-12-11,,direct
RPT-000047,EMP-000057,EMP-000055,BR-010,2020-09-17,,direct
RPT-000048,EMP-000058,EMP-000055,BR-010,2025-09-11,,direct
RPT-000049,EMP-000059,EMP-000055,BR-010,2020-12-06,,direct
RPT-000050,EMP-000060,EMP-000055,BR-010,2025-04-08,,direct
RPT-000051,EMP-000062,EMP-000061,BR-011,2023-08-07,,direct
RPT-000052,EMP-000063,EMP-000061,BR-011,2021-08-29,,direct
RPT-000053,EMP-000064,EMP-000061,BR-011,2020-02-16,,direct
RPT-000054,EMP-000065,EMP-000061,BR-011,2024-02-12,,direct
RPT-000055,EMP-000066,EMP-000061,BR-011,2025-10-02,,direct
RPT-000056,EMP-000068,EMP-000067,BR-012,2024-03-25,,direct
RPT-000057,EMP-000069,EMP-000067,BR-012,2020-02-03,,direct
RPT-000058,EMP-000070,EMP-000067,BR-012,2023-09-26,,direct
RPT-000059,EMP-000071,EMP-000067,BR-012,2024-04-24,,direct
RPT-000060,EMP-000072,EMP-000067,BR-012,2021-08-06,,direct
