campaign_id,customer_id,account_id,period_id,conversion_status,conversion_ts,booked_revenue_usd
CMP-0001,CUST-000019,ACCT-000019,2026-M01,closed_lost,2026-01-26 12:52:00,0.0
CMP-0001,CUST-000293,ACCT-000293,2026-M02,converted,2026-02-04 16:07:00,176.39
CMP-0002,CUST-000054,ACCT-000054,2026-M02,nurturing,2026-02-09 08:03:00,0.0
CMP-0002,CUST-000338,ACCT-000338,2026-M03,converted,2026-03-11 09:51:00,199.25
CMP-0002,CUST-000015,ACCT-000015,2026-M03,nurturing,2026-03-22 10:41:00,0.0
CMP-0003,CUST-000239,ACCT-000239,2026-M03,converted,2026-03-26 08:03:00,194.04
CMP-0003,CUST-000307,ACCT-000307,2026-M03,closed_lost,2026-03-31 16:59:00,0.0
CMP-0003,CUST-000299,ACCT-000299,2026-M05,converted,2026-05-16 09:35:00,205.08
CMP-0004,CUST-000182,ACCT-000182,2026-M04,converted,2026-04-07 11:47:00,342.86
CMP-0004,CUST-000035,ACCT-000035,2026-M05,nurturing,2026-05-04 10:30:00,0.0
CMP-0004,CUST-000109,ACCT-000109,2026-M05,converted,2026-05-10 16:57:00,339.02
CMP-0004,CUST-000331,ACCT-000331,2026-M06,converted,2026-06-05 17:09:00,356.51
CMP-0004,CUST-000229,ACCT-000229,2026-M06,converted,2026-06-15 16:55:00,372.79
CMP-0005,CUST-000170,ACCT-000170,2026-M05,converted,2026-05-23 12:17:00,1011.62
CMP-0005,CUST-000142,ACCT-000142,2026-M05,nurturing,2026-05-29 13:26:00,0.0
CMP-0006,CUST-000158,ACCT-000158,2026-M07,converted,2026-07-09 17:48:00,1170.84
CMP-0006,CUST-000227,ACCT-000227,2026-M08,closed_lost,2026-08-04 08:43:00,0.0
CMP-0007,CUST-000103,ACCT-000103,2026-M07,nurturing,2026-07-29 11:51:00,0.0
CMP-0007,CUST-000159,ACCT-000159,2026-M08,converted,2026-08-22 13:56:00,210.21
CMP-0007,CUST-000177,ACCT-000177,2026-M08,converted,2026-08-23 14:41:00,187.45
CMP-0007,CUST-000151,ACCT-000151,2026-M08,nurturing,2026-08-28 14:30:00,0.0
CMP-0007,CUST-000136,ACCT-000136,2026-M08,nurturing,2026-08-30 08:40:00,0.0
CMP-0007,CUST-000091,ACCT-000091,2026-M09,nurturing,2026-09-04 13:56:00,0.0
CMP-0008,CUST-000193,ACCT-000193,2026-M08,converted,2026-08-14 11:08:00,175.15
CMP-0008,CUST-000148,ACCT-000148,2026-M08,converted,2026-08-11 10:12:00,211.87
CMP-0008,CUST-000329,ACCT-000329,2026-M08,nurturing,2026-08-30 15:46:00,0.0
CMP-0008,CUST-000282,ACCT-000282,2026-M09,nurturing,2026-09-01 17:23:00,0.0
CMP-0008,CUST-000211,ACCT-000211,2026-M09,converted,2026-09-18 16:19:00,179.98
CMP-0008,CUST-000144,ACCT-000144,2026-M09,converted,2026-09-18 16:03:00,180.2
CMP-0008,CUST-000112,ACCT-000112,2026-M09,converted,2026-09-21 16:19:00,167.44
CMP-0008,CUST-000056,ACCT-000056,2026-M09,converted,2026-09-30 15:00:00,203.85
CMP-0009,CUST-000027,ACCT-000027,2026-M09,nurturing,2026-09-27 13:30:00,0.0
CMP-0009,CUST-000122,ACCT-000122,2026-M10,closed_lost,2026-10-03 10:15:00,0.0
CMP-0009,CUST-000196,ACCT-000196,2026-M10,converted,2026-10-02 16:00:00,179.29
CMP-0009,CUST-000233,ACCT-000233,2026-M10,nurturing,2026-10-11 08:17:00,0.0
CMP-0010,CUST-000236,ACCT-000236,2026-M10,converted,2026-10-07 08:48:00,345.5
CMP-0010,CUST-000319,ACCT-000319,2026-M10,nurturing,2026-10-07 09:10:00,0.0
CMP-0010,CUST-000051,ACCT-000051,2026-M10,converted,2026-10-06 15:06:00,354.49
CMP-0010,CUST-000150,ACCT-000150,2026-M10,nurturing,2026-10-02 15:46:00,0.0
CMP-0010,CUST-000207,ACCT-000207,2026-M10,converted,2026-10-05 16:09:00,346.71
CMP-0010,CUST-000126,ACCT-000126,2026-M10,converted,2026-10-05 08:23:00,312.59
CMP-0010,CUST-000157,ACCT-000157,2026-M10,converted,2026-10-04 13:43:00,327.94
CMP-0010,CUST-000130,ACCT-000130,2026-M10,converted,2026-10-02 11:01:00,305.4
CMP-0010,CUST-000135,ACCT-000135,2026-M10,converted,2026-10-03 13:52:00,345.53
CMP-0010,CUST-000165,ACCT-000165,2026-M10,nurturing,2026-10-02 17:42:00,0.0
