incident_id,branch_id,period_id,channel_id,incident_type,severity,opened_ts,resolved_ts
INC-000001,BR-001,2026-M03,CH-007,branch_network_latency,medium,2026-03-14 21:12:00,2026-03-15 02:38:00
INC-000002,BR-001,2026-M05,CH-007,card_dispute_queue,high,2026-05-25 02:01:00,2026-05-26 15:16:00
INC-000003,BR-001,2026-M06,CH-008,branch_network_latency,medium,2026-06-13 17:21:00,2026-06-14 02:10:00
INC-000004,BR-001,2026-M08,CH-008,branch_network_latency,medium,2026-08-18 18:25:00,2026-08-19 17:53:00
INC-000005,BR-001,2026-M12,CH-007,card_dispute_queue,medium,2026-12-09 01:18:00,2026-12-09 12:13:00
INC-000006,BR-002,2026-M01,CH-007,statement_delivery_issue,low,2026-01-10 20:18:00,2026-01-10 21:49:00
INC-000007,BR-002,2026-M01,CH-007,cash_reconciliation_delay,high,2026-01-26 06:20:00,2026-01-27 19:48:00
INC-000008,BR-002,2026-M02,CH-008,branch_network_latency,low,2026-02-23 19:12:00,2026-02-23 22:07:00
INC-000009,BR-002,2026-M05,CH-007,atm_outage,high,2026-05-28 01:51:00,2026-05-29 19:39:00
INC-000010,BR-002,2026-M05,CH-008,branch_network_latency,high,2026-05-05 06:59:00,2026-05-06 08:37:00
INC-000011,BR-002,2026-M07,CH-007,branch_network_latency,low,2026-07-24 11:29:00,2026-07-24 17:22:00
INC-000012,BR-002,2026-M11,CH-008,cash_reconciliation_delay,low,2026-11-09 22:44:00,2026-11-10 06:12:00
INC-000013,BR-003,2026-M06,CH-007,branch_network_latency,low,2026-06-12 05:48:00,2026-06-12 10:20:00
INC-000014,BR-003,2026-M08,CH-007,cash_reconciliation_delay,medium,2026-08-14 12:30:00,2026-08-15 10:20:00
INC-000015,BR-003,2026-M08,CH-007,branch_network_latency,high,2026-08-02 01:19:00,2026-08-02 18:39:00
INC-000016,BR-003,2026-M10,CH-008,branch_network_latency,low,2026-10-28 13:42:00,2026-10-28 22:26:00
INC-000017,BR-003,2026-M11,CH-008,cash_reconciliation_delay,low,2026-11-25 05:31:00,2026-11-25 14:29:00
INC-000018,BR-003,2026-M12,CH-007,branch_network_latency,high,2026-12-02 02:41:00,2026-12-03 03:35:00
INC-000019,BR-004,2026-M01,CH-007,atm_outage,medium,2026-01-04 13:10:00,2026-01-05 07:19:00
INC-000020,BR-004,2026-M02,CH-007,atm_outage,low,2026-02-21 19:57:00,2026-02-21 22:38:00
INC-000021,BR-004,2026-M03,CH-007,cash_reconciliation_delay,medium,2026-03-06 05:34:00,2026-03-06 17:01:00
INC-000022,BR-004,2026-M04,CH-008,atm_outage,medium,2026-04-14 04:53:00,2026-04-14 15:47:00
INC-000023,BR-004,2026-M05,CH-007,cash_reconciliation_delay,high,2026-05-03 21:06:00,2026-05-04 06:15:00
INC-000024,BR-004,2026-M06,CH-008,branch_network_latency,medium,2026-06-16 00:15:00,2026-06-16 22:54:00
INC-000025,BR-004,2026-M07,CH-008,branch_network_latency,critical,2026-07-28 08:05:00,2026-07-30 16:21:00
INC-000026,BR-004,2026-M07,CH-008,cash_reconciliation_delay,low,2026-07-14 07:57:00,2026-07-14 11:31:00
INC-000027,BR-005,2026-M01,CH-007,atm_outage,medium,2026-01-23 13:19:00,2026-01-24 01:19:00
INC-000028,BR-005,2026-M01,CH-008,cash_reconciliation_delay,low,2026-01-25 04:12:00,2026-01-25 15:16:00
INC-000029,BR-005,2026-M03,CH-008,statement_delivery_issue,medium,2026-03-24 04:29:00,2026-03-24 20:27:00
INC-000030,BR-005,2026-M06,CH-007,branch_network_latency,medium,2026-06-22 00:15:00,2026-06-22 20:03:00
