sla_event_id,branch_id,period_id,incident_id,response_minutes,resolution_minutes,sla_breached_flag
SLA-000001,BR-001,2026-M03,INC-000001,71,294,True
SLA-000002,BR-001,2026-M05,INC-000002,347,2120,True
SLA-000003,BR-001,2026-M06,INC-000003,73,475,True
SLA-000004,BR-001,2026-M08,INC-000004,229,1500,True
SLA-000005,BR-001,2026-M12,INC-000005,73,647,True
SLA-000006,BR-002,2026-M01,INC-000006,10,83,False
SLA-000007,BR-002,2026-M01,INC-000007,234,2131,True
SLA-000008,BR-002,2026-M02,INC-000008,34,179,False
SLA-000009,BR-002,2026-M05,INC-000009,577,2571,True
SLA-000010,BR-002,2026-M05,INC-000010,161,1418,True
SLA-000011,BR-002,2026-M07,INC-000011,68,314,False
SLA-000012,BR-002,2026-M11,INC-000012,53,430,False
SLA-000013,BR-003,2026-M06,INC-000013,35,279,False
SLA-000014,BR-003,2026-M08,INC-000014,175,1229,True
SLA-000015,BR-003,2026-M08,INC-000015,221,928,True
SLA-000016,BR-003,2026-M10,INC-000016,80,502,False
SLA-000017,BR-003,2026-M11,INC-000017,71,482,False
SLA-000018,BR-003,2026-M12,INC-000018,221,1385,True
SLA-000019,BR-004,2026-M01,INC-000019,168,1120,True
SLA-000020,BR-004,2026-M02,INC-000020,32,142,False
SLA-000021,BR-004,2026-M03,INC-000021,86,706,True
SLA-000022,BR-004,2026-M04,INC-000022,134,690,True
SLA-000023,BR-004,2026-M05,INC-000023,51,493,True
SLA-000024,BR-004,2026-M06,INC-000024,286,1201,True
SLA-000025,BR-004,2026-M07,INC-000025,782,3607,True
SLA-000026,BR-004,2026-M07,INC-000026,41,230,False
SLA-000027,BR-005,2026-M01,INC-000027,162,716,True
SLA-000028,BR-005,2026-M01,INC-000028,121,666,True
SLA-000029,BR-005,2026-M03,INC-000029,220,876,True
SLA-000030,BR-005,2026-M06,INC-000030,221,1206,True
SLA-000031,BR-005,2026-M07,INC-000031,40,261,False
SLA-000032,BR-005,2026-M08,INC-000032,43,249,False
SLA-000033,BR-005,2026-M09,INC-000033,46,217,False
SLA-000034,BR-005,2026-M10,INC-000034,39,253,False
SLA-000035,BR-005,2026-M10,INC-000035,46,413,False
SLA-000036,BR-006,2026-M01,INC-000036,23,207,False
SLA-000037,BR-006,2026-M05,INC-000037,155,844,True
SLA-000038,BR-006,2026-M07,INC-000038,367,2940,True
SLA-000039,BR-006,2026-M10,INC-000039,429,1931,True
SLA-000040,BR-006,2026-M11,INC-000040,183,1164,True
SLA-000041,BR-007,2026-M02,INC-000041,83,400,False
SLA-000042,BR-007,2026-M03,INC-000042,123,1443,True
SLA-000043,BR-007,2026-M05,INC-000043,68,521,True
SLA-000044,BR-007,2026-M07,INC-000044,111,994,True
SLA-000045,BR-007,2026-M08,INC-000045,84,358,True
SLA-000046,BR-007,2026-M09,INC-000046,282,1805,True
SLA-000047,BR-007,2026-M10,INC-000047,86,657,True
SLA-000048,BR-007,2026-M11,INC-000048,296,1167,True
SLA-000049,BR-008,2026-M03,INC-000049,351,1671,True
SLA-000050,BR-008,2026-M04,INC-000050,107,973,True
SLA-000051,BR-008,2026-M05,INC-000051,247,1136,True
SLA-000052,BR-008,2026-M08,INC-000052,101,722,True
SLA-000053,BR-008,2026-M10,INC-000053,332,1271,True
SLA-000054,BR-009,2026-M02,INC-000054,217,1368,True
SLA-000055,BR-009,2026-M03,INC-000055,96,611,True
SLA-000056,BR-009,2026-M06,INC-000056,202,813,True
SLA-000057,BR-009,2026-M06,INC-000057,107,711,True
SLA-000058,BR-009,2026-M06,INC-000058,271,1534,True
SLA-000059,BR-010,2026-M03,INC-000059,69,325,False
SLA-000060,BR-010,2026-M08,INC-000060,484,2558,True
SLA-000061,BR-010,2026-M08,INC-000061,30,146,False
SLA-000062,BR-010,2026-M10,INC-000062,231,1560,True
SLA-000063,BR-010,2026-M11,INC-000063,19,129,False
SLA-000064,BR-011,2026-M01,INC-000064,370,2073,True
SLA-000065,BR-011,2026-M03,INC-000065,232,1304,True
SLA-000066,BR-011,2026-M03,INC-000066,122,1033,True
SLA-000067,BR-011,2026-M07,INC-000067,71,322,False
SLA-000068,BR-011,2026-M10,INC-000068,31,295,False
SLA-000069,BR-011,2026-M11,INC-000069,82,536,False
SLA-000070,BR-011,2026-M12,INC-000070,273,1216,True
SLA-000071,BR-011,2026-M12,INC-000071,150,1037,True
SLA-000072,BR-012,2026-M01,INC-000072,89,371,False
SLA-000073,BR-012,2026-M02,INC-000073,314,2282,True
SLA-000074,BR-012,2026-M03,INC-000074,176,795,True
SLA-000075,BR-012,2026-M05,INC-000075,205,1546,True
SLA-000076,BR-012,2026-M07,INC-000076,162,983,True
SLA-000077,BR-012,2026-M09,INC-000077,517,2946,True
SLA-000078,BR-012,2026-M10,INC-000078,89,631,True
SLA-000079,BR-012,2026-M12,INC-000079,242,1038,True
